index,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
542,2020-03-26T00:00:00Z,AI,Anguilla,AMRO,2,2,0,0
543,2020-03-27T00:00:00Z,AI,Anguilla,AMRO,0,2,0,0
544,2020-03-28T00:00:00Z,AI,Anguilla,AMRO,0,2,0,0
545,2020-03-29T00:00:00Z,AI,Anguilla,AMRO,0,2,0,0
546,2020-03-30T00:00:00Z,AI,Anguilla,AMRO,0,2,0,0
547,2020-03-31T00:00:00Z,AI,Anguilla,AMRO,0,2,0,0
548,2020-04-01T00:00:00Z,AI,Anguilla,AMRO,0,2,0,0
549,2020-04-02T00:00:00Z,AI,Anguilla,AMRO,0,2,0,0
550,2020-04-03T00:00:00Z,AI,Anguilla,AMRO,0,2,0,0
551,2020-04-04T00:00:00Z,AI,Anguilla,AMRO,1,3,0,0
552,2020-04-05T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
553,2020-04-06T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
554,2020-04-07T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
555,2020-04-08T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
556,2020-04-09T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
557,2020-04-10T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
558,2020-04-11T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
559,2020-04-12T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
560,2020-04-13T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
561,2020-04-14T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
562,2020-04-15T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
563,2020-04-16T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
564,2020-04-17T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
565,2020-04-18T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
566,2020-04-19T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
567,2020-04-20T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
568,2020-04-21T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
569,2020-04-22T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
570,2020-04-23T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
571,2020-04-24T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
572,2020-04-25T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
573,2020-04-26T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
574,2020-04-27T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
575,2020-04-28T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
576,2020-04-29T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
577,2020-04-30T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
578,2020-05-01T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
579,2020-05-02T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
580,2020-05-03T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
581,2020-05-04T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
582,2020-05-05T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
583,2020-05-06T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
584,2020-05-07T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
585,2020-05-08T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
586,2020-05-09T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
587,2020-05-10T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
588,2020-05-11T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
589,2020-05-12T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
590,2020-05-13T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
591,2020-05-14T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
592,2020-05-15T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
593,2020-05-16T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
594,2020-05-17T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
595,2020-05-18T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
596,2020-05-19T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
597,2020-05-20T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
598,2020-05-21T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
599,2020-05-22T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
600,2020-05-23T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
601,2020-05-24T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
602,2020-05-25T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
603,2020-05-26T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
604,2020-05-27T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
605,2020-05-28T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
606,2020-05-29T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
607,2020-05-30T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
608,2020-05-31T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
609,2020-06-01T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
610,2020-06-02T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
611,2020-06-03T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
612,2020-06-04T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
613,2020-06-05T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
614,2020-06-06T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
615,2020-06-07T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
616,2020-06-08T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
617,2020-06-09T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
618,2020-06-10T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
619,2020-06-11T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
620,2020-06-12T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
621,2020-06-13T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
622,2020-06-14T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
623,2020-06-15T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
624,2020-06-16T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
625,2020-06-17T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
626,2020-06-18T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
627,2020-06-19T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
628,2020-06-20T00:00:00Z,AI,Anguilla,AMRO,0,3,0,0
629,2020-03-13T00:00:00Z,AG,Antigua and Barbuda,AMRO,1,1,0,0
630,2020-03-14T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,1,0,0
631,2020-03-15T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,1,0,0
632,2020-03-16T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,1,0,0
633,2020-03-17T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,1,0,0
634,2020-03-18T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,1,0,0
635,2020-03-19T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,1,0,0
636,2020-03-20T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,1,0,0
637,2020-03-21T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,1,0,0
638,2020-03-22T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,1,0,0
639,2020-03-23T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,1,0,0
640,2020-03-24T00:00:00Z,AG,Antigua and Barbuda,AMRO,2,3,0,0
641,2020-03-25T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,3,0,0
642,2020-03-26T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,3,0,0
643,2020-03-27T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,3,0,0
644,2020-03-28T00:00:00Z,AG,Antigua and Barbuda,AMRO,4,7,0,0
645,2020-03-29T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,7,0,0
646,2020-03-30T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,7,0,0
647,2020-03-31T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,7,0,0
648,2020-04-01T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,7,0,0
649,2020-04-02T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,7,0,0
650,2020-04-03T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,7,0,0
651,2020-04-04T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,7,0,0
652,2020-04-05T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,7,0,0
653,2020-04-06T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,7,0,0
654,2020-04-07T00:00:00Z,AG,Antigua and Barbuda,AMRO,8,15,0,0
655,2020-04-08T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,15,0,0
656,2020-04-09T00:00:00Z,AG,Antigua and Barbuda,AMRO,4,19,2,2
657,2020-04-10T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,19,0,2
658,2020-04-11T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,19,0,2
659,2020-04-12T00:00:00Z,AG,Antigua and Barbuda,AMRO,2,21,0,2
660,2020-04-13T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,21,0,2
661,2020-04-14T00:00:00Z,AG,Antigua and Barbuda,AMRO,2,23,0,2
662,2020-04-15T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,23,0,2
663,2020-04-16T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,23,0,2
664,2020-04-17T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,23,0,2
665,2020-04-18T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,23,0,2
666,2020-04-19T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,23,0,2
667,2020-04-20T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,23,1,3
668,2020-04-21T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,23,0,3
669,2020-04-22T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,23,0,3
670,2020-04-23T00:00:00Z,AG,Antigua and Barbuda,AMRO,1,24,0,3
671,2020-04-24T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,24,0,3
672,2020-04-25T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,24,0,3
673,2020-04-26T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,24,0,3
674,2020-04-27T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,24,0,3
675,2020-04-28T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,24,0,3
676,2020-04-29T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,24,0,3
677,2020-04-30T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,24,0,3
678,2020-05-01T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,24,0,3
679,2020-05-02T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,24,0,3
680,2020-05-03T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,24,0,3
681,2020-05-04T00:00:00Z,AG,Antigua and Barbuda,AMRO,1,25,0,3
682,2020-05-05T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
683,2020-05-06T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
684,2020-05-07T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
685,2020-05-08T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
686,2020-05-09T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
687,2020-05-10T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
688,2020-05-11T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
689,2020-05-12T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
690,2020-05-13T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
691,2020-05-14T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
692,2020-05-15T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
693,2020-05-16T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
694,2020-05-17T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
695,2020-05-18T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
696,2020-05-19T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
697,2020-05-20T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
698,2020-05-21T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
699,2020-05-22T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
700,2020-05-23T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
701,2020-05-24T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
702,2020-05-25T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
703,2020-05-26T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
704,2020-05-27T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
705,2020-05-28T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
706,2020-05-29T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
707,2020-05-30T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
708,2020-05-31T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
709,2020-06-01T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
710,2020-06-02T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
711,2020-06-03T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
712,2020-06-04T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
713,2020-06-05T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
714,2020-06-06T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
715,2020-06-07T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
716,2020-06-08T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
717,2020-06-09T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
718,2020-06-10T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
719,2020-06-11T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
720,2020-06-12T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
721,2020-06-13T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,25,0,3
722,2020-06-14T00:00:00Z,AG,Antigua and Barbuda,AMRO,1,26,0,3
723,2020-06-15T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,26,0,3
724,2020-06-16T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,26,0,3
725,2020-06-17T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,26,0,3
726,2020-06-18T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,26,0,3
727,2020-06-19T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,26,0,3
728,2020-06-20T00:00:00Z,AG,Antigua and Barbuda,AMRO,0,26,0,3
729,2020-03-03T00:00:00Z,AR,Argentina,AMRO,1,1,0,0
730,2020-03-04T00:00:00Z,AR,Argentina,AMRO,0,1,0,0
731,2020-03-05T00:00:00Z,AR,Argentina,AMRO,0,1,0,0
732,2020-03-06T00:00:00Z,AR,Argentina,AMRO,1,2,0,0
733,2020-03-07T00:00:00Z,AR,Argentina,AMRO,7,9,1,1
734,2020-03-08T00:00:00Z,AR,Argentina,AMRO,3,12,0,1
735,2020-03-09T00:00:00Z,AR,Argentina,AMRO,0,12,0,1
736,2020-03-10T00:00:00Z,AR,Argentina,AMRO,0,12,0,1
737,2020-03-11T00:00:00Z,AR,Argentina,AMRO,5,17,0,1
738,2020-03-12T00:00:00Z,AR,Argentina,AMRO,2,19,0,1
739,2020-03-13T00:00:00Z,AR,Argentina,AMRO,12,31,0,1
