index,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
0,2020-02-24T00:00:00Z,AF,Afghanistan,EMRO,1,1,0,0
1,2020-02-25T00:00:00Z,AF,Afghanistan,EMRO,0,1,0,0
2,2020-02-26T00:00:00Z,AF,Afghanistan,EMRO,0,1,0,0
3,2020-02-27T00:00:00Z,AF,Afghanistan,EMRO,0,1,0,0
4,2020-02-28T00:00:00Z,AF,Afghanistan,EMRO,0,1,0,0
5,2020-02-29T00:00:00Z,AF,Afghanistan,EMRO,0,1,0,0
6,2020-03-01T00:00:00Z,AF,Afghanistan,EMRO,0,1,0,0
7,2020-03-02T00:00:00Z,AF,Afghanistan,EMRO,0,1,0,0
8,2020-03-03T00:00:00Z,AF,Afghanistan,EMRO,0,1,0,0
9,2020-03-04T00:00:00Z,AF,Afghanistan,EMRO,0,1,0,0
10,2020-03-05T00:00:00Z,AF,Afghanistan,EMRO,0,1,0,0
11,2020-03-06T00:00:00Z,AF,Afghanistan,EMRO,0,1,0,0
12,2020-03-07T00:00:00Z,AF,Afghanistan,EMRO,3,4,0,0
13,2020-03-08T00:00:00Z,AF,Afghanistan,EMRO,0,4,0,0
14,2020-03-09T00:00:00Z,AF,Afghanistan,EMRO,0,4,0,0
15,2020-03-10T00:00:00Z,AF,Afghanistan,EMRO,0,4,0,0
16,2020-03-11T00:00:00Z,AF,Afghanistan,EMRO,3,7,0,0
17,2020-03-12T00:00:00Z,AF,Afghanistan,EMRO,0,7,0,0
18,2020-03-13T00:00:00Z,AF,Afghanistan,EMRO,0,7,0,0
19,2020-03-14T00:00:00Z,AF,Afghanistan,EMRO,3,10,0,0
20,2020-03-15T00:00:00Z,AF,Afghanistan,EMRO,6,16,0,0
21,2020-03-16T00:00:00Z,AF,Afghanistan,EMRO,5,21,0,0
22,2020-03-17T00:00:00Z,AF,Afghanistan,EMRO,1,22,0,0
23,2020-03-18T00:00:00Z,AF,Afghanistan,EMRO,0,22,0,0
24,2020-03-19T00:00:00Z,AF,Afghanistan,EMRO,0,22,0,0
25,2020-03-20T00:00:00Z,AF,Afghanistan,EMRO,2,24,0,0
26,2020-03-21T00:00:00Z,AF,Afghanistan,EMRO,0,24,0,0
27,2020-03-22T00:00:00Z,AF,Afghanistan,EMRO,10,34,0,0
28,2020-03-23T00:00:00Z,AF,Afghanistan,EMRO,6,40,1,1
29,2020-03-24T00:00:00Z,AF,Afghanistan,EMRO,2,42,0,1
30,2020-03-25T00:00:00Z,AF,Afghanistan,EMRO,32,74,0,1
31,2020-03-26T00:00:00Z,AF,Afghanistan,EMRO,6,80,1,2
32,2020-03-27T00:00:00Z,AF,Afghanistan,EMRO,11,91,0,2
33,2020-03-28T00:00:00Z,AF,Afghanistan,EMRO,15,106,1,3
34,2020-03-29T00:00:00Z,AF,Afghanistan,EMRO,8,114,1,4
35,2020-03-30T00:00:00Z,AF,Afghanistan,EMRO,0,114,0,4
