index,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
118,2020-03-09T00:00:00Z,AL,Albania,EURO,2,2,0,0
119,2020-03-10T00:00:00Z,AL,Albania,EURO,4,6,0,0
120,2020-03-11T00:00:00Z,AL,Albania,EURO,4,10,0,0
121,2020-03-12T00:00:00Z,AL,Albania,EURO,13,23,0,0
122,2020-03-13T00:00:00Z,AL,Albania,EURO,10,33,1,1
123,2020-03-14T00:00:00Z,AL,Albania,EURO,5,38,0,1
124,2020-03-15T00:00:00Z,AL,Albania,EURO,4,42,0,1
125,2020-03-16T00:00:00Z,AL,Albania,EURO,9,51,0,1
126,2020-03-17T00:00:00Z,AL,Albania,EURO,4,55,0,1
127,2020-03-18T00:00:00Z,AL,Albania,EURO,4,59,1,2
128,2020-03-19T00:00:00Z,AL,Albania,EURO,11,70,0,2
129,2020-03-20T00:00:00Z,AL,Albania,EURO,0,70,0,2
130,2020-03-21T00:00:00Z,AL,Albania,EURO,6,76,0,2
131,2020-03-22T00:00:00Z,AL,Albania,EURO,0,76,0,2
132,2020-03-23T00:00:00Z,AL,Albania,EURO,13,89,0,2
133,2020-03-24T00:00:00Z,AL,Albania,EURO,34,123,2,4
134,2020-03-25T00:00:00Z,AL,Albania,EURO,23,146,1,5
135,2020-03-26T00:00:00Z,AL,Albania,EURO,28,174,0,5
136,2020-03-27T00:00:00Z,AL,Albania,EURO,12,186,3,8
137,2020-03-28T00:00:00Z,AL,Albania,EURO,11,197,1,9
138,2020-03-29T00:00:00Z,AL,Albania,EURO,15,212,1,10
139,2020-03-30T00:00:00Z,AL,Albania,EURO,11,223,0,10
140,2020-03-31T00:00:00Z,AL,Albania,EURO,0,223,1,11
141,2020-04-01T00:00:00Z,AL,Albania,EURO,20,243,2,13
142,2020-04-02T00:00:00Z,AL,Albania,EURO,34,277,2,15
143,2020-04-03T00:00:00Z,AL,Albania,EURO,0,277,1,16
144,2020-04-04T00:00:00Z,AL,Albania,EURO,56,333,1,17
145,2020-04-05T00:00:00Z,AL,Albania,EURO,0,333,1,18
146,2020-04-06T00:00:00Z,AL,Albania,EURO,44,377,3,21
147,2020-04-07T00:00:00Z,AL,Albania,EURO,0,377,1,22
148,2020-04-08T00:00:00Z,AL,Albania,EURO,23,400,0,22
149,2020-04-09T00:00:00Z,AL,Albania,EURO,9,409,0,22
150,2020-04-10T00:00:00Z,AL,Albania,EURO,7,416,1,23
151,2020-04-11T00:00:00Z,AL,Albania,EURO,0,416,0,23
152,2020-04-12T00:00:00Z,AL,Albania,EURO,30,446,0,23
153,2020-04-13T00:00:00Z,AL,Albania,EURO,0,446,0,23
154,2020-04-14T00:00:00Z,AL,Albania,EURO,29,475,0,23
155,2020-04-15T00:00:00Z,AL,Albania,EURO,0,475,1,24
156,2020-04-16T00:00:00Z,AL,Albania,EURO,19,494,1,25
157,2020-04-17T00:00:00Z,AL,Albania,EURO,24,518,1,26
158,2020-04-18T00:00:00Z,AL,Albania,EURO,30,548,0,26
159,2020-04-19T00:00:00Z,AL,Albania,EURO,0,548,0,26
160,2020-04-20T00:00:00Z,AL,Albania,EURO,14,562,0,26
161,2020-04-21T00:00:00Z,AL,Albania,EURO,47,609,0,26
162,2020-04-22T00:00:00Z,AL,Albania,EURO,25,634,0,26
163,2020-04-23T00:00:00Z,AL,Albania,EURO,0,634,1,27
164,2020-04-24T00:00:00Z,AL,Albania,EURO,44,678,0,27
165,2020-04-25T00:00:00Z,AL,Albania,EURO,0,678,0,27
166,2020-04-26T00:00:00Z,AL,Albania,EURO,34,712,0,27
167,2020-04-27T00:00:00Z,AL,Albania,EURO,14,726,1,28
168,2020-04-28T00:00:00Z,AL,Albania,EURO,10,736,0,28
169,2020-04-29T00:00:00Z,AL,Albania,EURO,30,766,2,30
170,2020-04-30T00:00:00Z,AL,Albania,EURO,7,773,1,31
171,2020-05-01T00:00:00Z,AL,Albania,EURO,0,773,0,31
172,2020-05-02T00:00:00Z,AL,Albania,EURO,16,789,0,31
173,2020-05-03T00:00:00Z,AL,Albania,EURO,6,795,0,31
174,2020-05-04T00:00:00Z,AL,Albania,EURO,8,803,0,31
175,2020-05-05T00:00:00Z,AL,Albania,EURO,17,820,0,31
176,2020-05-06T00:00:00Z,AL,Albania,EURO,12,832,0,31
177,2020-05-07T00:00:00Z,AL,Albania,EURO,0,832,0,31
178,2020-05-08T00:00:00Z,AL,Albania,EURO,18,850,0,31
179,2020-05-09T00:00:00Z,AL,Albania,EURO,6,856,0,31
180,2020-05-10T00:00:00Z,AL,Albania,EURO,12,868,0,31
181,2020-05-11T00:00:00Z,AL,Albania,EURO,0,868,0,31
182,2020-05-12T00:00:00Z,AL,Albania,EURO,4,872,0,31
183,2020-05-13T00:00:00Z,AL,Albania,EURO,4,876,0,31
184,2020-05-14T00:00:00Z,AL,Albania,EURO,4,880,0,31
185,2020-05-15T00:00:00Z,AL,Albania,EURO,18,898,0,31
186,2020-05-16T00:00:00Z,AL,Albania,EURO,35,933,0,31
187,2020-05-17T00:00:00Z,AL,Albania,EURO,13,946,0,31
188,2020-05-18T00:00:00Z,AL,Albania,EURO,2,948,0,31
189,2020-05-19T00:00:00Z,AL,Albania,EURO,0,948,0,31
190,2020-05-20T00:00:00Z,AL,Albania,EURO,16,964,0,31
191,2020-05-21T00:00:00Z,AL,Albania,EURO,5,969,0,31
192,2020-05-22T00:00:00Z,AL,Albania,EURO,0,969,0,31
193,2020-05-23T00:00:00Z,AL,Albania,EURO,12,981,0,31
194,2020-05-24T00:00:00Z,AL,Albania,EURO,8,989,1,32
195,2020-05-25T00:00:00Z,AL,Albania,EURO,15,1004,0,32
196,2020-05-26T00:00:00Z,AL,Albania,EURO,25,1029,1,33
197,2020-05-27T00:00:00Z,AL,Albania,EURO,21,1050,0,33
198,2020-05-28T00:00:00Z,AL,Albania,EURO,26,1076,0,33
199,2020-05-29T00:00:00Z,AL,Albania,EURO,23,1099,0,33
200,2020-05-30T00:00:00Z,AL,Albania,EURO,23,1122,0,33
201,2020-05-31T00:00:00Z,AL,Albania,EURO,14,1136,0,33
202,2020-06-01T00:00:00Z,AL,Albania,EURO,7,1143,0,33
203,2020-06-02T00:00:00Z,AL,Albania,EURO,21,1164,0,33
204,2020-06-03T00:00:00Z,AL,Albania,EURO,12,1176,0,33
205,2020-06-04T00:00:00Z,AL,Albania,EURO,21,1197,0,33
206,2020-06-05T00:00:00Z,AL,Albania,EURO,15,1212,0,33
207,2020-06-06T00:00:00Z,AL,Albania,EURO,20,1232,1,34
208,2020-06-07T00:00:00Z,AL,Albania,EURO,14,1246,0,34
209,2020-06-08T00:00:00Z,AL,Albania,EURO,17,1263,0,34
210,2020-06-09T00:00:00Z,AL,Albania,EURO,36,1299,0,34
211,2020-06-10T00:00:00Z,AL,Albania,EURO,42,1341,0,34
212,2020-06-11T00:00:00Z,AL,Albania,EURO,44,1385,0,34
213,2020-06-12T00:00:00Z,AL,Albania,EURO,31,1416,2,36
214,2020-06-13T00:00:00Z,AL,Albania,EURO,48,1464,0,36
215,2020-06-14T00:00:00Z,AL,Albania,EURO,57,1521,0,36
216,2020-06-15T00:00:00Z,AL,Albania,EURO,69,1590,0,36
217,2020-06-16T00:00:00Z,AL,Albania,EURO,82,1672,1,37
218,2020-06-17T00:00:00Z,AL,Albania,EURO,50,1722,1,38
219,2020-06-18T00:00:00Z,AL,Albania,EURO,66,1788,1,39
220,2020-06-19T00:00:00Z,AL,Albania,EURO,50,1838,3,42
221,2020-06-20T00:00:00Z,AL,Albania,EURO,0,1838,0,42
339,2020-03-02T00:00:00Z,AD,Andorra,EURO,1,1,0,0
340,2020-03-03T00:00:00Z,AD,Andorra,EURO,0,1,0,0
341,2020-03-04T00:00:00Z,AD,Andorra,EURO,0,1,0,0
342,2020-03-05T00:00:00Z,AD,Andorra,EURO,0,1,0,0
343,2020-03-06T00:00:00Z,AD,Andorra,EURO,0,1,0,0
344,2020-03-07T00:00:00Z,AD,Andorra,EURO,0,1,0,0
345,2020-03-08T00:00:00Z,AD,Andorra,EURO,0,1,0,0
346,2020-03-09T00:00:00Z,AD,Andorra,EURO,0,1,0,0
347,2020-03-10T00:00:00Z,AD,Andorra,EURO,0,1,0,0
348,2020-03-11T00:00:00Z,AD,Andorra,EURO,0,1,0,0
349,2020-03-12T00:00:00Z,AD,Andorra,EURO,0,1,0,0
350,2020-03-13T00:00:00Z,AD,Andorra,EURO,1,2,0,0
351,2020-03-14T00:00:00Z,AD,Andorra,EURO,0,2,0,0
352,2020-03-15T00:00:00Z,AD,Andorra,EURO,0,2,0,0
353,2020-03-16T00:00:00Z,AD,Andorra,EURO,12,14,0,0
354,2020-03-17T00:00:00Z,AD,Andorra,EURO,2,16,0,0
355,2020-03-18T00:00:00Z,AD,Andorra,EURO,23,39,0,0
356,2020-03-19T00:00:00Z,AD,Andorra,EURO,36,75,0,0
357,2020-03-20T00:00:00Z,AD,Andorra,EURO,0,75,0,0
358,2020-03-21T00:00:00Z,AD,Andorra,EURO,13,88,0,0
359,2020-03-22T00:00:00Z,AD,Andorra,EURO,0,88,0,0
360,2020-03-23T00:00:00Z,AD,Andorra,EURO,25,113,0,0
361,2020-03-24T00:00:00Z,AD,Andorra,EURO,51,164,1,1
362,2020-03-25T00:00:00Z,AD,Andorra,EURO,24,188,0,1
363,2020-03-26T00:00:00Z,AD,Andorra,EURO,25,213,2,3
364,2020-03-27T00:00:00Z,AD,Andorra,EURO,18,231,0,3
365,2020-03-28T00:00:00Z,AD,Andorra,EURO,58,289,0,3
366,2020-03-29T00:00:00Z,AD,Andorra,EURO,32,321,1,4
367,2020-03-30T00:00:00Z,AD,Andorra,EURO,20,341,2,6
368,2020-03-31T00:00:00Z,AD,Andorra,EURO,29,370,2,8
369,2020-04-01T00:00:00Z,AD,Andorra,EURO,6,376,4,12
370,2020-04-02T00:00:00Z,AD,Andorra,EURO,20,396,1,13
371,2020-04-03T00:00:00Z,AD,Andorra,EURO,33,429,2,15
372,2020-04-04T00:00:00Z,AD,Andorra,EURO,13,442,1,16
373,2020-04-05T00:00:00Z,AD,Andorra,EURO,24,466,1,17
374,2020-04-06T00:00:00Z,AD,Andorra,EURO,57,523,0,17
375,2020-04-07T00:00:00Z,AD,Andorra,EURO,17,540,4,21
376,2020-04-08T00:00:00Z,AD,Andorra,EURO,11,551,1,22
377,2020-04-09T00:00:00Z,AD,Andorra,EURO,15,566,2,24
378,2020-04-10T00:00:00Z,AD,Andorra,EURO,23,589,2,26
379,2020-04-11T00:00:00Z,AD,Andorra,EURO,13,602,0,26
380,2020-04-12T00:00:00Z,AD,Andorra,EURO,20,622,2,28
381,2020-04-13T00:00:00Z,AD,Andorra,EURO,17,639,1,29
382,2020-04-14T00:00:00Z,AD,Andorra,EURO,12,651,0,29
383,2020-04-15T00:00:00Z,AD,Andorra,EURO,8,659,2,31
384,2020-04-16T00:00:00Z,AD,Andorra,EURO,14,673,2,33
385,2020-04-17T00:00:00Z,AD,Andorra,EURO,21,694,1,34
386,2020-04-18T00:00:00Z,AD,Andorra,EURO,9,703,1,35
387,2020-04-19T00:00:00Z,AD,Andorra,EURO,1,704,0,35
388,2020-04-20T00:00:00Z,AD,Andorra,EURO,13,717,1,36
389,2020-04-21T00:00:00Z,AD,Andorra,EURO,1,718,0,36
390,2020-04-22T00:00:00Z,AD,Andorra,EURO,5,723,1,37
391,2020-04-23T00:00:00Z,AD,Andorra,EURO,1,724,0,37
392,2020-04-24T00:00:00Z,AD,Andorra,EURO,2,726,1,38
393,2020-04-25T00:00:00Z,AD,Andorra,EURO,7,733,2,40
394,2020-04-26T00:00:00Z,AD,Andorra,EURO,5,738,0,40
395,2020-04-27T00:00:00Z,AD,Andorra,EURO,2,740,0,40
396,2020-04-28T00:00:00Z,AD,Andorra,EURO,1,741,0,40
397,2020-04-29T00:00:00Z,AD,Andorra,EURO,1,742,1,41
398,2020-04-30T00:00:00Z,AD,Andorra,EURO,2,744,0,41
399,2020-05-01T00:00:00Z,AD,Andorra,EURO,2,746,1,42
400,2020-05-02T00:00:00Z,AD,Andorra,EURO,0,746,1,43
401,2020-05-03T00:00:00Z,AD,Andorra,EURO,1,747,1,44
402,2020-05-04T00:00:00Z,AD,Andorra,EURO,2,749,1,45
403,2020-05-05T00:00:00Z,AD,Andorra,EURO,2,751,0,45
404,2020-05-06T00:00:00Z,AD,Andorra,EURO,0,751,1,46
405,2020-05-07T00:00:00Z,AD,Andorra,EURO,1,752,1,47
406,2020-05-08T00:00:00Z,AD,Andorra,EURO,0,752,0,47
407,2020-05-09T00:00:00Z,AD,Andorra,EURO,2,754,0,47
408,2020-05-10T00:00:00Z,AD,Andorra,EURO,0,754,1,48
409,2020-05-11T00:00:00Z,AD,Andorra,EURO,2,756,0,48
410,2020-05-12T00:00:00Z,AD,Andorra,EURO,0,756,0,48
411,2020-05-13T00:00:00Z,AD,Andorra,EURO,3,759,0,48
412,2020-05-14T00:00:00Z,AD,Andorra,EURO,2,761,1,49
413,2020-05-15T00:00:00Z,AD,Andorra,EURO,0,761,0,49
414,2020-05-16T00:00:00Z,AD,Andorra,EURO,0,761,0,49
