index,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
9794,2020-01-30T00:00:00Z,IN,India,SEARO,1,1,0,0
9795,2020-01-31T00:00:00Z,IN,India,SEARO,0,1,0,0
9796,2020-02-01T00:00:00Z,IN,India,SEARO,0,1,0,0
9797,2020-02-02T00:00:00Z,IN,India,SEARO,1,2,0,0
9798,2020-02-03T00:00:00Z,IN,India,SEARO,1,3,0,0
9799,2020-02-04T00:00:00Z,IN,India,SEARO,0,3,0,0
9800,2020-02-05T00:00:00Z,IN,India,SEARO,0,3,0,0
9801,2020-02-06T00:00:00Z,IN,India,SEARO,0,3,0,0
9802,2020-02-07T00:00:00Z,IN,India,SEARO,0,3,0,0
9803,2020-02-08T00:00:00Z,IN,India,SEARO,0,3,0,0
9804,2020-02-09T00:00:00Z,IN,India,SEARO,0,3,0,0
9805,2020-02-10T00:00:00Z,IN,India,SEARO,0,3,0,0
9806,2020-02-11T00:00:00Z,IN,India,SEARO,0,3,0,0
9807,2020-02-12T00:00:00Z,IN,India,SEARO,0,3,0,0
9808,2020-02-13T00:00:00Z,IN,India,SEARO,0,3,0,0
9809,2020-02-14T00:00:00Z,IN,India,SEARO,0,3,0,0
9810,2020-02-15T00:00:00Z,IN,India,SEARO,0,3,0,0
9811,2020-02-16T00:00:00Z,IN,India,SEARO,0,3,0,0
9812,2020-02-17T00:00:00Z,IN,India,SEARO,0,3,0,0
9813,2020-02-18T00:00:00Z,IN,India,SEARO,0,3,0,0
9814,2020-02-19T00:00:00Z,IN,India,SEARO,0,3,0,0
9815,2020-02-20T00:00:00Z,IN,India,SEARO,0,3,0,0
9816,2020-02-21T00:00:00Z,IN,India,SEARO,0,3,0,0
9817,2020-02-22T00:00:00Z,IN,India,SEARO,0,3,0,0
9818,2020-02-23T00:00:00Z,IN,India,SEARO,0,3,0,0
9819,2020-02-24T00:00:00Z,IN,India,SEARO,0,3,0,0
9820,2020-02-25T00:00:00Z,IN,India,SEARO,0,3,0,0
9821,2020-02-26T00:00:00Z,IN,India,SEARO,0,3,0,0
9822,2020-02-27T00:00:00Z,IN,India,SEARO,0,3,0,0
9823,2020-02-28T00:00:00Z,IN,India,SEARO,0,3,0,0
9824,2020-02-29T00:00:00Z,IN,India,SEARO,0,3,0,0
9825,2020-03-01T00:00:00Z,IN,India,SEARO,0,3,0,0
9826,2020-03-02T00:00:00Z,IN,India,SEARO,2,5,0,0
9827,2020-03-03T00:00:00Z,IN,India,SEARO,0,5,0,0
9828,2020-03-04T00:00:00Z,IN,India,SEARO,22,27,0,0
9829,2020-03-05T00:00:00Z,IN,India,SEARO,2,29,0,0
9830,2020-03-06T00:00:00Z,IN,India,SEARO,2,31,0,0
9831,2020-03-07T00:00:00Z,IN,India,SEARO,3,34,0,0
9832,2020-03-08T00:00:00Z,IN,India,SEARO,5,39,0,0
9833,2020-03-09T00:00:00Z,IN,India,SEARO,5,44,0,0
9834,2020-03-10T00:00:00Z,IN,India,SEARO,6,50,0,0
9835,2020-03-11T00:00:00Z,IN,India,SEARO,10,60,0,0
9836,2020-03-12T00:00:00Z,IN,India,SEARO,14,74,0,0
9837,2020-03-13T00:00:00Z,IN,India,SEARO,7,81,1,1
9838,2020-03-14T00:00:00Z,IN,India,SEARO,3,84,1,2
9839,2020-03-15T00:00:00Z,IN,India,SEARO,23,107,0,2
9840,2020-03-16T00:00:00Z,IN,India,SEARO,7,114,0,2
9841,2020-03-17T00:00:00Z,IN,India,SEARO,23,137,1,3
9842,2020-03-18T00:00:00Z,IN,India,SEARO,14,151,0,3
9843,2020-03-19T00:00:00Z,IN,India,SEARO,44,195,1,4
9844,2020-03-20T00:00:00Z,IN,India,SEARO,0,195,0,4
9845,2020-03-21T00:00:00Z,IN,India,SEARO,88,283,0,4
9846,2020-03-22T00:00:00Z,IN,India,SEARO,58,341,1,5
9847,2020-03-23T00:00:00Z,IN,India,SEARO,93,434,4,9
9848,2020-03-24T00:00:00Z,IN,India,SEARO,85,519,0,9
9849,2020-03-25T00:00:00Z,IN,India,SEARO,87,606,1,10
9850,2020-03-26T00:00:00Z,IN,India,SEARO,43,649,3,13
9851,2020-03-27T00:00:00Z,IN,India,SEARO,75,724,4,17
9852,2020-03-28T00:00:00Z,IN,India,SEARO,0,724,0,17
9853,2020-03-29T00:00:00Z,IN,India,SEARO,255,979,8,25
9854,2020-03-30T00:00:00Z,IN,India,SEARO,92,1071,4,29
9855,2020-03-31T00:00:00Z,IN,India,SEARO,180,1251,3,32
9856,2020-04-01T00:00:00Z,IN,India,SEARO,385,1636,6,38
9857,2020-04-02T00:00:00Z,IN,India,SEARO,329,1965,12,50
9858,2020-04-03T00:00:00Z,IN,India,SEARO,336,2301,6,56
9859,2020-04-04T00:00:00Z,IN,India,SEARO,601,2902,12,68
9860,2020-04-05T00:00:00Z,IN,India,SEARO,472,3374,9,77
9861,2020-04-06T00:00:00Z,IN,India,SEARO,693,4067,32,109
9862,2020-04-07T00:00:00Z,IN,India,SEARO,354,4421,5,114
9863,2020-04-08T00:00:00Z,IN,India,SEARO,853,5274,35,149
9864,2020-04-09T00:00:00Z,IN,India,SEARO,591,5865,20,169
9865,2020-04-10T00:00:00Z,IN,India,SEARO,547,6412,30,199
9866,2020-04-11T00:00:00Z,IN,India,SEARO,1035,7447,40,239
9867,2020-04-12T00:00:00Z,IN,India,SEARO,909,8356,34,273
9868,2020-04-13T00:00:00Z,IN,India,SEARO,796,9152,35,308
9869,2020-04-14T00:00:00Z,IN,India,SEARO,1211,10363,31,339
9870,2020-04-15T00:00:00Z,IN,India,SEARO,1076,11439,38,377
9871,2020-04-16T00:00:00Z,IN,India,SEARO,941,12380,37,414
9872,2020-04-17T00:00:00Z,IN,India,SEARO,1007,13387,23,437
9873,2020-04-18T00:00:00Z,IN,India,SEARO,991,14378,43,480
9874,2020-04-19T00:00:00Z,IN,India,SEARO,1334,15712,27,507
9875,2020-04-20T00:00:00Z,IN,India,SEARO,1553,17265,36,543
9876,2020-04-21T00:00:00Z,IN,India,SEARO,1336,18601,47,590
9877,2020-04-22T00:00:00Z,IN,India,SEARO,1383,19984,50,640
9878,2020-04-23T00:00:00Z,IN,India,SEARO,1409,21393,41,681
9879,2020-04-24T00:00:00Z,IN,India,SEARO,1684,23077,37,718
9880,2020-04-25T00:00:00Z,IN,India,SEARO,1429,24506,57,775
9881,2020-04-26T00:00:00Z,IN,India,SEARO,1990,26496,49,824
9882,2020-04-27T00:00:00Z,IN,India,SEARO,1396,27892,48,872
9883,2020-04-28T00:00:00Z,IN,India,SEARO,1543,29435,62,934
9884,2020-04-29T00:00:00Z,IN,India,SEARO,1897,31332,73,1007
9885,2020-04-30T00:00:00Z,IN,India,SEARO,1718,33050,67,1074
9886,2020-05-01T00:00:00Z,IN,India,SEARO,1993,35043,73,1147
9887,2020-05-02T00:00:00Z,IN,India,SEARO,2293,37336,71,1218
9888,2020-05-03T00:00:00Z,IN,India,SEARO,2644,39980,83,1301
9889,2020-05-04T00:00:00Z,IN,India,SEARO,2553,42533,72,1373
9890,2020-05-05T00:00:00Z,IN,India,SEARO,3900,46433,195,1568
9891,2020-05-06T00:00:00Z,IN,India,SEARO,2958,49391,126,1694
9892,2020-05-07T00:00:00Z,IN,India,SEARO,3561,52952,89,1783
