Date_reported,New_cases,Cumulative_cases
2020-01-30T00:00:00Z,1,1
2020-01-31T00:00:00Z,0,1
2020-02-01T00:00:00Z,0,1
2020-02-02T00:00:00Z,1,2
2020-02-03T00:00:00Z,1,3
2020-02-04T00:00:00Z,0,3
2020-02-05T00:00:00Z,0,3
2020-02-06T00:00:00Z,0,3
2020-02-07T00:00:00Z,0,3
2020-02-08T00:00:00Z,0,3
2020-02-09T00:00:00Z,0,3
2020-02-10T00:00:00Z,0,3
2020-02-11T00:00:00Z,0,3
2020-02-12T00:00:00Z,0,3
2020-02-13T00:00:00Z,0,3
2020-02-14T00:00:00Z,0,3
2020-02-15T00:00:00Z,0,3
2020-02-16T00:00:00Z,0,3
2020-02-17T00:00:00Z,0,3
2020-02-18T00:00:00Z,0,3
2020-02-19T00:00:00Z,0,3
2020-02-20T00:00:00Z,0,3
2020-02-21T00:00:00Z,0,3
2020-02-22T00:00:00Z,0,3
2020-02-23T00:00:00Z,0,3
2020-02-24T00:00:00Z,0,3
2020-02-25T00:00:00Z,0,3
2020-02-26T00:00:00Z,0,3
2020-02-27T00:00:00Z,0,3
2020-02-28T00:00:00Z,0,3
2020-02-29T00:00:00Z,0,3
2020-03-01T00:00:00Z,0,3
2020-03-02T00:00:00Z,2,5
2020-03-03T00:00:00Z,0,5
2020-03-04T00:00:00Z,22,27
2020-03-05T00:00:00Z,2,29
2020-03-06T00:00:00Z,2,31
2020-03-07T00:00:00Z,3,34
2020-03-08T00:00:00Z,5,39
2020-03-09T00:00:00Z,5,44
2020-03-10T00:00:00Z,6,50
2020-03-11T00:00:00Z,10,60
2020-03-12T00:00:00Z,14,74
2020-03-13T00:00:00Z,7,81
2020-03-14T00:00:00Z,3,84
2020-03-15T00:00:00Z,23,107
2020-03-16T00:00:00Z,7,114
2020-03-17T00:00:00Z,23,137
2020-03-18T00:00:00Z,14,151
2020-03-19T00:00:00Z,44,195
2020-03-20T00:00:00Z,0,195
2020-03-21T00:00:00Z,88,283
2020-03-22T00:00:00Z,58,341
2020-03-23T00:00:00Z,93,434
2020-03-24T00:00:00Z,85,519
2020-03-25T00:00:00Z,87,606
2020-03-26T00:00:00Z,43,649
2020-03-27T00:00:00Z,75,724
2020-03-28T00:00:00Z,0,724
2020-03-29T00:00:00Z,255,979
2020-03-30T00:00:00Z,92,1071
2020-03-31T00:00:00Z,180,1251
2020-04-01T00:00:00Z,385,1636
2020-04-02T00:00:00Z,329,1965
2020-04-03T00:00:00Z,336,2301
2020-04-04T00:00:00Z,601,2902
2020-04-05T00:00:00Z,472,3374
2020-04-06T00:00:00Z,693,4067
2020-04-07T00:00:00Z,354,4421
2020-04-08T00:00:00Z,853,5274
2020-04-09T00:00:00Z,591,5865
2020-04-10T00:00:00Z,547,6412
2020-04-11T00:00:00Z,1035,7447
2020-04-12T00:00:00Z,909,8356
2020-04-13T00:00:00Z,796,9152
2020-04-14T00:00:00Z,1211,10363
2020-04-15T00:00:00Z,1076,11439
2020-04-16T00:00:00Z,941,12380
2020-04-17T00:00:00Z,1007,13387
2020-04-18T00:00:00Z,991,14378
2020-04-19T00:00:00Z,1334,15712
2020-04-20T00:00:00Z,1553,17265
2020-04-21T00:00:00Z,1336,18601
2020-04-22T00:00:00Z,1383,19984
2020-04-23T00:00:00Z,1409,21393
2020-04-24T00:00:00Z,1684,23077
2020-04-25T00:00:00Z,1429,24506
2020-04-26T00:00:00Z,1990,26496
2020-04-27T00:00:00Z,1396,27892
2020-04-28T00:00:00Z,1543,29435
2020-04-29T00:00:00Z,1897,31332
2020-04-30T00:00:00Z,1718,33050
2020-05-01T00:00:00Z,1993,35043
2020-05-02T00:00:00Z,2293,37336
2020-05-03T00:00:00Z,2644,39980
2020-05-04T00:00:00Z,2553,42533
2020-05-05T00:00:00Z,3900,46433
2020-05-06T00:00:00Z,2958,49391
2020-05-07T00:00:00Z,3561,52952
2020-05-08T00:00:00Z,3390,56342
2020-05-09T00:00:00Z,3320,59662
2020-05-10T00:00:00Z,3277,62939
2020-05-11T00:00:00Z,4213,67152
2020-05-12T00:00:00Z,3604,70756
2020-05-13T00:00:00Z,3525,74281
2020-05-14T00:00:00Z,3722,78003
2020-05-15T00:00:00Z,3967,81970
2020-05-16T00:00:00Z,3970,85940
2020-05-17T00:00:00Z,4987,90927
2020-05-18T00:00:00Z,5242,96169
2020-05-19T00:00:00Z,4970,101139
2020-05-20T00:00:00Z,5611,106750
2020-05-21T00:00:00Z,5609,112359
2020-05-22T00:00:00Z,6088,118447
2020-05-23T00:00:00Z,6654,125101
2020-05-24T00:00:00Z,6767,131868
2020-05-25T00:00:00Z,6977,138845
2020-05-26T00:00:00Z,6535,145380
2020-05-27T00:00:00Z,6387,151767
2020-05-28T00:00:00Z,6566,158333
2020-05-29T00:00:00Z,7466,165799
2020-05-30T00:00:00Z,7964,173763
2020-05-31T00:00:00Z,8380,182143
2020-06-01T00:00:00Z,8392,190535
2020-06-02T00:00:00Z,8171,198706
2020-06-03T00:00:00Z,8909,207615
2020-06-04T00:00:00Z,9304,216919
2020-06-05T00:00:00Z,9851,226770
2020-06-06T00:00:00Z,9887,236657
2020-06-07T00:00:00Z,9971,246628
2020-06-08T00:00:00Z,9983,256611
2020-06-09T00:00:00Z,9987,266598
2020-06-10T00:00:00Z,9985,276583
2020-06-11T00:00:00Z,9996,286579
2020-06-12T00:00:00Z,10956,297535
2020-06-13T00:00:00Z,11458,308993
2020-06-14T00:00:00Z,11929,320922
2020-06-15T00:00:00Z,11502,332424
2020-06-16T00:00:00Z,10667,343091
2020-06-17T00:00:00Z,10974,354065
2020-06-18T00:00:00Z,12881,366946
2020-06-19T00:00:00Z,13586,380532
2020-06-20T00:00:00Z,14516,395048
