Date_reported,Cumulative_cases
2020-01-30T00:00:00Z,1
2020-01-31T00:00:00Z,1
2020-02-01T00:00:00Z,1
2020-02-02T00:00:00Z,2
2020-02-03T00:00:00Z,3
2020-02-04T00:00:00Z,3
2020-02-05T00:00:00Z,3
2020-02-06T00:00:00Z,3
2020-02-07T00:00:00Z,3
2020-02-08T00:00:00Z,3
2020-02-09T00:00:00Z,3
2020-02-10T00:00:00Z,3
2020-02-11T00:00:00Z,3
2020-02-12T00:00:00Z,3
2020-02-13T00:00:00Z,3
2020-02-14T00:00:00Z,3
2020-02-15T00:00:00Z,3
2020-02-16T00:00:00Z,3
2020-02-17T00:00:00Z,3
2020-02-18T00:00:00Z,3
2020-02-19T00:00:00Z,3
2020-02-20T00:00:00Z,3
2020-02-21T00:00:00Z,3
2020-02-22T00:00:00Z,3
2020-02-23T00:00:00Z,3
2020-02-24T00:00:00Z,3
2020-02-25T00:00:00Z,3
2020-02-26T00:00:00Z,3
2020-02-27T00:00:00Z,3
2020-02-28T00:00:00Z,3
2020-02-29T00:00:00Z,3
2020-03-01T00:00:00Z,3
2020-03-02T00:00:00Z,5
2020-03-03T00:00:00Z,5
2020-03-04T00:00:00Z,27
2020-03-05T00:00:00Z,29
2020-03-06T00:00:00Z,31
2020-03-07T00:00:00Z,34
2020-03-08T00:00:00Z,39
2020-03-09T00:00:00Z,44
2020-03-10T00:00:00Z,50
2020-03-11T00:00:00Z,60
2020-03-12T00:00:00Z,74
2020-03-13T00:00:00Z,81
2020-03-14T00:00:00Z,84
2020-03-15T00:00:00Z,107
2020-03-16T00:00:00Z,114
2020-03-17T00:00:00Z,137
2020-03-18T00:00:00Z,151
2020-03-19T00:00:00Z,195
2020-03-20T00:00:00Z,195
2020-03-21T00:00:00Z,283
2020-03-22T00:00:00Z,341
2020-03-23T00:00:00Z,434
2020-03-24T00:00:00Z,519
2020-03-25T00:00:00Z,606
2020-03-26T00:00:00Z,649
2020-03-27T00:00:00Z,724
2020-03-28T00:00:00Z,724
2020-03-29T00:00:00Z,979
2020-03-30T00:00:00Z,1071
2020-03-31T00:00:00Z,1251
2020-04-01T00:00:00Z,1636
2020-04-02T00:00:00Z,1965
2020-04-03T00:00:00Z,2301
2020-04-04T00:00:00Z,2902
2020-04-05T00:00:00Z,3374
2020-04-06T00:00:00Z,4067
2020-04-07T00:00:00Z,4421
2020-04-08T00:00:00Z,5274
2020-04-09T00:00:00Z,5865
2020-04-10T00:00:00Z,6412
2020-04-11T00:00:00Z,7447
2020-04-12T00:00:00Z,8356
2020-04-13T00:00:00Z,9152
2020-04-14T00:00:00Z,10363
2020-04-15T00:00:00Z,11439
2020-04-16T00:00:00Z,12380
2020-04-17T00:00:00Z,13387
2020-04-18T00:00:00Z,14378
2020-04-19T00:00:00Z,15712
2020-04-20T00:00:00Z,17265
2020-04-21T00:00:00Z,18601
2020-04-22T00:00:00Z,19984
2020-04-23T00:00:00Z,21393
2020-04-24T00:00:00Z,23077
2020-04-25T00:00:00Z,24506
2020-04-26T00:00:00Z,26496
2020-04-27T00:00:00Z,27892
2020-04-28T00:00:00Z,29435
2020-04-29T00:00:00Z,31332
2020-04-30T00:00:00Z,33050
2020-05-01T00:00:00Z,35043
2020-05-02T00:00:00Z,37336
2020-05-03T00:00:00Z,39980
2020-05-04T00:00:00Z,42533
2020-05-05T00:00:00Z,46433
2020-05-06T00:00:00Z,49391
2020-05-07T00:00:00Z,52952
2020-05-08T00:00:00Z,56342
2020-05-09T00:00:00Z,59662
2020-05-10T00:00:00Z,62939
2020-05-11T00:00:00Z,67152
2020-05-12T00:00:00Z,70756
2020-05-13T00:00:00Z,74281
2020-05-14T00:00:00Z,78003
2020-05-15T00:00:00Z,81970
2020-05-16T00:00:00Z,85940
2020-05-17T00:00:00Z,90927
2020-05-18T00:00:00Z,96169
2020-05-19T00:00:00Z,101139
2020-05-20T00:00:00Z,106750
2020-05-21T00:00:00Z,112359
2020-05-22T00:00:00Z,118447
2020-05-23T00:00:00Z,125101
2020-05-24T00:00:00Z,131868
2020-05-25T00:00:00Z,138845
2020-05-26T00:00:00Z,145380
2020-05-27T00:00:00Z,151767
2020-05-28T00:00:00Z,158333
2020-05-29T00:00:00Z,165799
2020-05-30T00:00:00Z,173763
2020-05-31T00:00:00Z,182143
2020-06-01T00:00:00Z,190535
2020-06-02T00:00:00Z,198706
2020-06-03T00:00:00Z,207615
2020-06-04T00:00:00Z,216919
2020-06-05T00:00:00Z,226770
2020-06-06T00:00:00Z,236657
2020-06-07T00:00:00Z,246628
2020-06-08T00:00:00Z,256611
2020-06-09T00:00:00Z,266598
2020-06-10T00:00:00Z,276583
2020-06-11T00:00:00Z,286579
2020-06-12T00:00:00Z,297535
2020-06-13T00:00:00Z,308993
2020-06-14T00:00:00Z,320922
2020-06-15T00:00:00Z,332424
2020-06-16T00:00:00Z,343091
2020-06-17T00:00:00Z,354065
2020-06-18T00:00:00Z,366946
2020-06-19T00:00:00Z,380532
2020-06-20T00:00:00Z,395048
