index,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
1639,2020-03-08T00:00:00Z,BD,Bangladesh,SEARO,3,3,0,0
1640,2020-03-09T00:00:00Z,BD,Bangladesh,SEARO,0,3,0,0
1641,2020-03-10T00:00:00Z,BD,Bangladesh,SEARO,0,3,0,0
1642,2020-03-11T00:00:00Z,BD,Bangladesh,SEARO,0,3,0,0
1643,2020-03-12T00:00:00Z,BD,Bangladesh,SEARO,0,3,0,0
1644,2020-03-13T00:00:00Z,BD,Bangladesh,SEARO,0,3,0,0
1645,2020-03-14T00:00:00Z,BD,Bangladesh,SEARO,0,3,0,0
1646,2020-03-15T00:00:00Z,BD,Bangladesh,SEARO,0,3,0,0
1647,2020-03-16T00:00:00Z,BD,Bangladesh,SEARO,5,8,0,0
1648,2020-03-17T00:00:00Z,BD,Bangladesh,SEARO,0,8,0,0
1649,2020-03-18T00:00:00Z,BD,Bangladesh,SEARO,2,10,0,0
1650,2020-03-19T00:00:00Z,BD,Bangladesh,SEARO,7,17,1,1
1651,2020-03-20T00:00:00Z,BD,Bangladesh,SEARO,0,17,0,1
1652,2020-03-21T00:00:00Z,BD,Bangladesh,SEARO,7,24,1,2
1653,2020-03-22T00:00:00Z,BD,Bangladesh,SEARO,0,24,0,2
1654,2020-03-23T00:00:00Z,BD,Bangladesh,SEARO,3,27,0,2
1655,2020-03-24T00:00:00Z,BD,Bangladesh,SEARO,12,39,2,4
1656,2020-03-25T00:00:00Z,BD,Bangladesh,SEARO,0,39,0,4
1657,2020-03-26T00:00:00Z,BD,Bangladesh,SEARO,5,44,1,5
1658,2020-03-27T00:00:00Z,BD,Bangladesh,SEARO,4,48,0,5
1659,2020-03-28T00:00:00Z,BD,Bangladesh,SEARO,0,48,0,5
1660,2020-03-29T00:00:00Z,BD,Bangladesh,SEARO,0,48,0,5
1661,2020-03-30T00:00:00Z,BD,Bangladesh,SEARO,1,49,0,5
1662,2020-03-31T00:00:00Z,BD,Bangladesh,SEARO,0,49,0,5
1663,2020-04-01T00:00:00Z,BD,Bangladesh,SEARO,5,54,1,6
1664,2020-04-02T00:00:00Z,BD,Bangladesh,SEARO,2,56,0,6
1665,2020-04-03T00:00:00Z,BD,Bangladesh,SEARO,5,61,0,6
1666,2020-04-04T00:00:00Z,BD,Bangladesh,SEARO,9,70,2,8
1667,2020-04-05T00:00:00Z,BD,Bangladesh,SEARO,18,88,0,8
1668,2020-04-06T00:00:00Z,BD,Bangladesh,SEARO,35,123,4,12
1669,2020-04-07T00:00:00Z,BD,Bangladesh,SEARO,41,164,5,17
1670,2020-04-08T00:00:00Z,BD,Bangladesh,SEARO,54,218,3,20
