index,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
1047,2020-01-25T00:00:00Z,AU,Australia,WPRO,3,3,0,0
1048,2020-01-26T00:00:00Z,AU,Australia,WPRO,1,4,0,0
1049,2020-01-27T00:00:00Z,AU,Australia,WPRO,1,5,0,0
1050,2020-01-28T00:00:00Z,AU,Australia,WPRO,0,5,0,0
1051,2020-01-29T00:00:00Z,AU,Australia,WPRO,2,7,0,0
1052,2020-01-30T00:00:00Z,AU,Australia,WPRO,2,9,0,0
1053,2020-01-31T00:00:00Z,AU,Australia,WPRO,0,9,0,0
1054,2020-02-01T00:00:00Z,AU,Australia,WPRO,3,12,0,0
1055,2020-02-02T00:00:00Z,AU,Australia,WPRO,0,12,0,0
1056,2020-02-03T00:00:00Z,AU,Australia,WPRO,0,12,0,0
1057,2020-02-04T00:00:00Z,AU,Australia,WPRO,1,13,0,0
1058,2020-02-05T00:00:00Z,AU,Australia,WPRO,1,14,0,0
1059,2020-02-06T00:00:00Z,AU,Australia,WPRO,1,15,0,0
1060,2020-02-07T00:00:00Z,AU,Australia,WPRO,0,15,0,0
1061,2020-02-08T00:00:00Z,AU,Australia,WPRO,0,15,0,0
1062,2020-02-09T00:00:00Z,AU,Australia,WPRO,0,15,0,0
1063,2020-02-10T00:00:00Z,AU,Australia,WPRO,0,15,0,0
1064,2020-02-11T00:00:00Z,AU,Australia,WPRO,0,15,0,0
1065,2020-02-12T00:00:00Z,AU,Australia,WPRO,0,15,0,0
1066,2020-02-13T00:00:00Z,AU,Australia,WPRO,0,15,0,0
1067,2020-02-14T00:00:00Z,AU,Australia,WPRO,0,15,0,0
1068,2020-02-15T00:00:00Z,AU,Australia,WPRO,0,15,0,0
1069,2020-02-16T00:00:00Z,AU,Australia,WPRO,0,15,0,0
1070,2020-02-17T00:00:00Z,AU,Australia,WPRO,0,15,0,0
1071,2020-02-18T00:00:00Z,AU,Australia,WPRO,0,15,0,0
1072,2020-02-19T00:00:00Z,AU,Australia,WPRO,0,15,0,0
1073,2020-02-20T00:00:00Z,AU,Australia,WPRO,0,15,0,0
1074,2020-02-21T00:00:00Z,AU,Australia,WPRO,2,17,0,0
1075,2020-02-22T00:00:00Z,AU,Australia,WPRO,4,21,0,0
1076,2020-02-23T00:00:00Z,AU,Australia,WPRO,1,22,0,0
1077,2020-02-24T00:00:00Z,AU,Australia,WPRO,0,22,0,0
1078,2020-02-25T00:00:00Z,AU,Australia,WPRO,1,23,0,0
1079,2020-02-26T00:00:00Z,AU,Australia,WPRO,0,23,0,0
1080,2020-02-27T00:00:00Z,AU,Australia,WPRO,0,23,0,0
1081,2020-02-28T00:00:00Z,AU,Australia,WPRO,0,23,0,0
1082,2020-02-29T00:00:00Z,AU,Australia,WPRO,2,25,0,0
1083,2020-03-01T00:00:00Z,AU,Australia,WPRO,2,27,1,1
1084,2020-03-02T00:00:00Z,AU,Australia,WPRO,6,33,0,1
1085,2020-03-03T00:00:00Z,AU,Australia,WPRO,0,33,0,1
1086,2020-03-04T00:00:00Z,AU,Australia,WPRO,0,33,0,1
1087,2020-03-05T00:00:00Z,AU,Australia,WPRO,24,57,1,2
1088,2020-03-06T00:00:00Z,AU,Australia,WPRO,5,62,0,2
1089,2020-03-07T00:00:00Z,AU,Australia,WPRO,8,70,0,2
1090,2020-03-08T00:00:00Z,AU,Australia,WPRO,7,77,1,3
1091,2020-03-09T00:00:00Z,AU,Australia,WPRO,15,92,0,3
1092,2020-03-10T00:00:00Z,AU,Australia,WPRO,0,92,0,3
1093,2020-03-11T00:00:00Z,AU,Australia,WPRO,30,122,0,3
1094,2020-03-12T00:00:00Z,AU,Australia,WPRO,18,140,0,3
1095,2020-03-13T00:00:00Z,AU,Australia,WPRO,49,189,0,3
1096,2020-03-14T00:00:00Z,AU,Australia,WPRO,8,197,0,3
1097,2020-03-15T00:00:00Z,AU,Australia,WPRO,101,298,2,5
1098,2020-03-16T00:00:00Z,AU,Australia,WPRO,38,336,0,5
1099,2020-03-17T00:00:00Z,AU,Australia,WPRO,78,414,0,5
1100,2020-03-18T00:00:00Z,AU,Australia,WPRO,96,510,1,6
1101,2020-03-19T00:00:00Z,AU,Australia,WPRO,199,709,0,6
1102,2020-03-20T00:00:00Z,AU,Australia,WPRO,164,873,1,7
1103,2020-03-21T00:00:00Z,AU,Australia,WPRO,208,1081,0,7
1104,2020-03-22T00:00:00Z,AU,Australia,WPRO,17,1098,0,7
1105,2020-03-23T00:00:00Z,AU,Australia,WPRO,611,1709,0,7
1106,2020-03-24T00:00:00Z,AU,Australia,WPRO,427,2136,1,8
1107,2020-03-25T00:00:00Z,AU,Australia,WPRO,287,2423,0,8
1108,2020-03-26T00:00:00Z,AU,Australia,WPRO,376,2799,3,11
1109,2020-03-27T00:00:00Z,AU,Australia,WPRO,186,2985,2,13
1110,2020-03-28T00:00:00Z,AU,Australia,WPRO,650,3635,1,14
1111,2020-03-29T00:00:00Z,AU,Australia,WPRO,331,3966,2,16
1112,2020-03-30T00:00:00Z,AU,Australia,WPRO,279,4245,2,18
1113,2020-03-31T00:00:00Z,AU,Australia,WPRO,312,4557,1,19
1114,2020-04-01T00:00:00Z,AU,Australia,WPRO,303,4860,1,20
1115,2020-04-02T00:00:00Z,AU,Australia,WPRO,116,4976,1,21
1116,2020-04-03T00:00:00Z,AU,Australia,WPRO,374,5350,5,26
1117,2020-04-04T00:00:00Z,AU,Australia,WPRO,104,5454,2,28
1118,2020-04-05T00:00:00Z,AU,Australia,WPRO,181,5635,6,34
1119,2020-04-06T00:00:00Z,AU,Australia,WPRO,160,5795,5,39
1120,2020-04-07T00:00:00Z,AU,Australia,WPRO,49,5844,3,42
1121,2020-04-08T00:00:00Z,AU,Australia,WPRO,112,5956,3,45
1122,2020-04-09T00:00:00Z,AU,Australia,WPRO,96,6052,5,50
1123,2020-04-10T00:00:00Z,AU,Australia,WPRO,100,6152,2,52
1124,2020-04-11T00:00:00Z,AU,Australia,WPRO,137,6289,4,56
1125,2020-04-12T00:00:00Z,AU,Australia,WPRO,24,6313,3,59
1126,2020-04-13T00:00:00Z,AU,Australia,WPRO,9,6322,2,61
1127,2020-04-14T00:00:00Z,AU,Australia,WPRO,44,6366,0,61
1128,2020-04-15T00:00:00Z,AU,Australia,WPRO,50,6416,0,61
1129,2020-04-16T00:00:00Z,AU,Australia,WPRO,42,6458,2,63
1130,2020-04-17T00:00:00Z,AU,Australia,WPRO,10,6468,0,63
1131,2020-04-18T00:00:00Z,AU,Australia,WPRO,65,6533,4,67
1132,2020-04-19T00:00:00Z,AU,Australia,WPRO,73,6606,3,70
1133,2020-04-20T00:00:00Z,AU,Australia,WPRO,6,6612,0,70
1134,2020-04-21T00:00:00Z,AU,Australia,WPRO,13,6625,1,71
1135,2020-04-22T00:00:00Z,AU,Australia,WPRO,22,6647,3,74
1136,2020-04-23T00:00:00Z,AU,Australia,WPRO,14,6661,1,75
1137,2020-04-24T00:00:00Z,AU,Australia,WPRO,6,6667,1,76
1138,2020-04-25T00:00:00Z,AU,Australia,WPRO,20,6687,3,79
1139,2020-04-26T00:00:00Z,AU,Australia,WPRO,16,6703,2,81
1140,2020-04-27T00:00:00Z,AU,Australia,WPRO,10,6713,2,83
