Date,Open,High,Low,Close,Adj Close,Volume
25-06-2019,10.35,10.35,10.27,10.27,10.27,6800
26-06-2019,10.38,10.38,10.35,10.35,10.35,9300
27-06-2019,10.39,10.44,10.37,10.44,10.44,3000
28-06-2019,10.39,10.43,10.38,10.4,10.4,12500
01-07-2019,10.59,10.59,10.5,10.53,10.53,14500
02-07-2019,10.63,10.63,10.41,10.45,10.45,5400
03-07-2019,10.47,10.47,10.4,10.47,10.47,10400
05-07-2019,10.51,10.51,10.28,10.34,10.34,10800
08-07-2019,10.34,10.34,10.28,10.31,10.31,2900
09-07-2019,10.23,10.32,10.22,10.29,10.29,13100
10-07-2019,10.35,10.35,10.26,10.27,10.27,11600
11-07-2019,10.21,10.32,10.21,10.3,10.3,12500
12-07-2019,10.31,10.41,10.31,10.41,10.41,4500
15-07-2019,10.54,10.54,10.3,10.35,10.35,13500
16-07-2019,10.43,10.44,10.33,10.34,10.34,10700
17-07-2019,10.42,10.42,10.34,10.35,10.35,3400
18-07-2019,10.34,10.38,10.32,10.35,10.35,3600
19-07-2019,10.43,10.44,10.41,10.41,10.41,3900
22-07-2019,10.35,10.35,10.25,10.25,10.25,4700
23-07-2019,10.32,11,10.31,10.41,10.41,162000
24-07-2019,10.33,10.36,10.33,10.36,10.36,5400
25-07-2019,10.34,10.36,10.33,10.36,10.36,8900
26-07-2019,10.32,10.35,10.28,10.31,10.31,9800
29-07-2019,10.29,10.29,10.2,10.21,10.21,4400
30-07-2019,10.23,10.23,10.17,10.17,10.17,24900
31-07-2019,10.16,10.17,10.05,10.09,10.09,14300
01-08-2019,10.05,10.14,9.86,9.86,9.86,21200
02-08-2019,9.85,9.85,9.79,9.79,9.79,9200
05-08-2019,9.63,9.63,9.39,9.47,9.47,13800
06-08-2019,9.54,9.54,9.4,9.48,9.48,42200
07-08-2019,9.41,9.52,9.39,9.48,9.48,44800
08-08-2019,9.44,9.58,9.44,9.58,9.58,34800
09-08-2019,9.53,9.6,9.53,9.58,9.58,108900
12-08-2019,9.41,9.54,9.41,9.51,9.51,17200
13-08-2019,9.45,9.63,9.45,9.52,9.52,102400
14-08-2019,9.43,9.44,9.35,9.35,9.35,377900
15-08-2019,9.51,9.56,9.51,9.54,9.54,112800
16-08-2019,9.54,9.58,9.54,9.55,9.55,8000
19-08-2019,9.59,9.59,9.51,9.53,9.53,12200
20-08-2019,9.46,9.52,9.46,9.48,9.48,18800
21-08-2019,9.53,9.56,9.5,9.55,9.55,17800
22-08-2019,9.52,9.52,9.46,9.48,9.48,12700
23-08-2019,9.21,9.48,9.21,9.39,9.39,50600
26-08-2019,9.4,9.5,9.35,9.47,9.47,18100
27-08-2019,9.45,9.48,9.42,9.44,9.44,60000
28-08-2019,9.45,9.5,9.45,9.49,9.49,20600
