Date,Open,High,Low,Close,Adj Close,Volume
25-06-2019,0.42,0.42,0.42,0.42,0.42,6000
26-06-2019,0.41,0.41,0.41,0.41,0.41,1000
27-06-2019,0.42,0.43,0.42,0.42,0.42,9400
28-06-2019,0.42,0.42,0.42,0.42,0.42,0
01-07-2019,0.42,0.42,0.42,0.42,0.42,7200
02-07-2019,0.43,0.43,0.43,0.43,0.43,92000
03-07-2019,0.43,0.43,0.42,0.43,0.43,3500
05-07-2019,0.41,0.42,0.41,0.41,0.41,50300
08-07-2019,0.41,0.43,0.41,0.43,0.43,17900
09-07-2019,0.43,0.43,0.42,0.42,0.42,7200
10-07-2019,0.4,0.41,0.4,0.4,0.4,10500
11-07-2019,0.43,0.43,0.42,0.42,0.42,5060200
12-07-2019,0.43,0.43,0.41,0.41,0.41,31100
15-07-2019,0.41,0.43,0.41,0.41,0.41,12600
16-07-2019,0.43,0.43,0.43,0.43,0.43,29700
17-07-2019,0.42,0.42,0.42,0.42,0.42,14600
18-07-2019,0.42,0.42,0.42,0.42,0.42,2000
19-07-2019,0.43,0.43,0.43,0.43,0.43,5000
22-07-2019,0.42,0.42,0.42,0.42,0.42,200
23-07-2019,0.42,0.42,0.42,0.42,0.42,2000
24-07-2019,0.42,0.42,0.42,0.42,0.42,0
25-07-2019,0.41,0.43,0.41,0.43,0.43,28000
26-07-2019,0.42,0.42,0.41,0.41,0.41,22000
29-07-2019,0.41,0.41,0.41,0.41,0.41,1000
30-07-2019,0.41,0.42,0.41,0.42,0.42,1300
31-07-2019,0.4,0.41,0.4,0.41,0.41,400
01-08-2019,0.41,0.41,0.4,0.4,0.4,35800
02-08-2019,0.4,0.41,0.4,0.41,0.41,1000
05-08-2019,0.39,0.39,0.38,0.39,0.39,2179100
06-08-2019,0.39,0.4,0.39,0.39,0.39,5500
07-08-2019,0.38,0.39,0.38,0.39,0.39,10800
08-08-2019,0.39,0.39,0.39,0.39,0.39,0
09-08-2019,0.39,0.39,0.39,0.39,0.39,2900
12-08-2019,0.38,0.38,0.38,0.38,0.38,36600
13-08-2019,0.37,0.39,0.37,0.38,0.38,16900
14-08-2019,0.36,0.37,0.36,0.37,0.37,24800
15-08-2019,0.38,0.39,0.38,0.39,0.39,7200
16-08-2019,0.39,0.39,0.39,0.39,0.39,0
19-08-2019,0.4,0.4,0.4,0.4,0.4,5000
20-08-2019,0.38,0.39,0.38,0.38,0.38,19100
21-08-2019,0.38,0.38,0.38,0.38,0.38,10000
22-08-2019,0.36,0.37,0.36,0.37,0.37,3100
23-08-2019,0.36,0.39,0.36,0.38,0.38,361100
26-08-2019,0.38,0.39,0.38,0.39,0.39,1800
27-08-2019,0.38,0.38,0.38,0.38,0.38,300
28-08-2019,0.37,0.38,0.37,0.38,0.38,116900
29-08-2019,0.38,0.38,0.37,0.37,0.37,60000
30-08-2019,0.37,0.37,0.37,0.37,0.37,0
03-09-2019,0.37,0.38,0.37,0.37,0.37,41500
04-09-2019,0.39,0.39,0.38,0.38,0.38,3000
05-09-2019,0.39,0.4,0.39,0.39,0.39,12060600
06-09-2019,0.4,0.4,0.4,0.4,0.4,36700
09-09-2019,0.39,0.4,0.39,0.39,0.39,17600
10-09-2019,0.41,0.41,0.41,0.41,0.41,100
11-09-2019,0.4,0.4,0.4,0.4,0.4,1000
12-09-2019,0.41,0.41,0.39,0.41,0.41,18500
13-09-2019,0.42,0.42,0.42,0.42,0.42,100
16-09-2019,0.42,0.42,0.4,0.41,0.41,5100
17-09-2019,0.42,0.42,0.39,0.41,0.41,20200
18-09-2019,0.41,0.41,0.41,0.41,0.41,0
19-09-2019,0.37,0.41,0.37,0.41,0.41,78000
20-09-2019,0.39,0.39,0.39,0.39,0.39,2000
23-09-2019,0.41,0.41,0.39,0.39,0.39,11000
24-09-2019,0.39,0.39,0.39,0.39,0.39,0
25-09-2019,0.39,0.39,0.39,0.39,0.39,3000
26-09-2019,0.39,0.39,0.39,0.39,0.39,0
27-09-2019,0.4,0.4,0.37,0.37,0.37,2700
30-09-2019,0.37,0.38,0.37,0.38,0.38,14200
01-10-2019,0.38,0.38,0.38,0.38,0.38,0
02-10-2019,0.39,0.4,0.38,0.38,0.38,1975700
03-10-2019,0.37,0.39,0.37,0.39,0.39,41000
04-10-2019,0.38,0.38,0.38,0.38,0.38,9200
07-10-2019,0.37,0.38,0.37,0.38,0.38,28500
08-10-2019,0.38,0.38,0.38,0.38,0.38,0
09-10-2019,0.39,0.4,0.39,0.39,0.39,1600
10-10-2019,0.41,0.41,0.38,0.41,0.41,34700
11-10-2019,0.39,0.4,0.39,0.4,0.4,3100
14-10-2019,0.4,0.4,0.4,0.4,0.4,0
15-10-2019,0.4,0.41,0.4,0.41,0.41,10869900
16-10-2019,0.41,0.41,0.39,0.4,0.4,15400
17-10-2019,0.41,0.42,0.41,0.42,0.42,3500
18-10-2019,0.4,0.4,0.4,0.4,0.4,27000
21-10-2019,0.42,0.42,0.39,0.39,0.39,256500
22-10-2019,0.41,0.41,0.41,0.41,0.41,318300
23-10-2019,0.38,0.38,0.38,0.38,0.38,100
24-10-2019,0.41,0.41,0.41,0.41,0.41,200
25-10-2019,0.41,0.41,0.41,0.41,0.41,100
28-10-2019,0.41,0.41,0.41,0.41,0.41,100
29-10-2019,0.41,0.41,0.41,0.41,0.41,2000
30-10-2019,0.41,0.41,0.41,0.41,0.41,0
31-10-2019,0.41,0.41,0.41,0.41,0.41,0
01-11-2019,0.4,0.4,0.4,0.4,0.4,200
04-11-2019,0.42,0.43,0.42,0.43,0.43,29200
05-11-2019,0.42,0.43,0.42,0.43,0.43,10300
06-11-2019,0.43,0.43,0.41,0.41,0.41,24700
07-11-2019,0.42,0.44,0.42,0.43,0.43,8500
08-11-2019,0.42,0.42,0.41,0.41,0.41,12000
11-11-2019,0.41,0.41,0.41,0.41,0.41,0
12-11-2019,0.42,0.42,0.42,0.42,0.42,10000
13-11-2019,0.39,0.41,0.39,0.4,0.4,58700
14-11-2019,0.4,0.4,0.4,0.4,0.4,0
15-11-2019,0.4,0.4,0.4,0.4,0.4,1000
18-11-2019,0.43,0.43,0.43,0.43,0.43,200
19-11-2019,0.43,0.43,0.43,0.43,0.43,0
20-11-2019,0.43,0.43,0.43,0.43,0.43,0
21-11-2019,0.43,0.43,0.43,0.43,0.43,100
22-11-2019,0.41,0.41,0.41,0.41,0.41,700
25-11-2019,0.41,0.41,0.41,0.41,0.41,5000
26-11-2019,0.41,0.41,0.41,0.41,0.41,34000
27-11-2019,0.41,0.41,0.41,0.41,0.41,35600
29-11-2019,0.41,0.41,0.41,0.41,0.41,0
02-12-2019,0.4,0.4,0.4,0.4,0.4,300
03-12-2019,0.39,0.39,0.39,0.39,0.39,71400
04-12-2019,0.39,0.39,0.39,0.39,0.39,0
05-12-2019,0.39,0.39,0.39,0.39,0.39,0
06-12-2019,0.4,0.4,0.4,0.4,0.4,1000
09-12-2019,0.4,0.4,0.4,0.4,0.4,0
10-12-2019,0.4,0.4,0.4,0.4,0.4,1000
11-12-2019,0.41,0.41,0.41,0.41,0.41,2368000
12-12-2019,0.41,0.42,0.41,0.41,0.41,9000
13-12-2019,0.41,0.43,0.41,0.41,0.41,12500
16-12-2019,0.41,0.41,0.41,0.41,0.41,800
17-12-2019,0.41,0.43,0.41,0.43,0.43,26300
18-12-2019,0.43,0.43,0.42,0.42,0.42,333300
19-12-2019,0.43,0.43,0.42,0.42,0.42,18000
20-12-2019,0.43,0.43,0.41,0.41,0.41,4000
23-12-2019,0.45,0.45,0.42,0.45,0.45,7000
24-12-2019,0.45,0.45,0.45,0.45,0.45,5000
26-12-2019,0.43,0.45,0.43,0.45,0.45,6300
27-12-2019,0.43,0.43,0.41,0.41,0.41,10000
30-12-2019,0.41,0.41,0.41,0.41,0.41,200
31-12-2019,0.42,0.43,0.42,0.42,0.42,7600
02-01-2020,0.42,0.44,0.42,0.43,0.43,18900
03-01-2020,0.43,0.43,0.43,0.43,0.43,1000
06-01-2020,0.42,0.42,0.42,0.42,0.42,2900
07-01-2020,0.42,0.42,0.42,0.42,0.42,0
08-01-2020,0.42,0.42,0.42,0.42,0.42,2000
09-01-2020,0.43,0.43,0.43,0.43,0.43,19300
10-01-2020,0.41,0.43,0.41,0.43,0.43,3500
13-01-2020,0.42,0.43,0.42,0.42,0.42,10900
14-01-2020,0.42,0.42,0.42,0.42,0.42,0
15-01-2020,0.43,0.43,0.42,0.43,0.43,8200
16-01-2020,0.43,0.43,0.43,0.43,0.43,0
17-01-2020,0.44,0.44,0.44,0.44,0.44,10200
21-01-2020,0.43,0.43,0.42,0.42,0.42,4900
22-01-2020,0.42,0.42,0.42,0.42,0.42,0
23-01-2020,0.4,0.42,0.4,0.41,0.41,251700
24-01-2020,0.41,0.41,0.41,0.41,0.41,1000
27-01-2020,0.4,0.4,0.4,0.4,0.4,5500
28-01-2020,0.4,0.4,0.39,0.39,0.39,3600
29-01-2020,0.39,0.4,0.39,0.4,0.4,10300
30-01-2020,0.39,0.4,0.39,0.4,0.4,61900
31-01-2020,0.39,0.39,0.39,0.39,0.39,33000
03-02-2020,0.4,0.4,0.38,0.38,0.38,100800
04-02-2020,0.41,0.42,0.41,0.41,0.41,35900
05-02-2020,0.4,0.4,0.4,0.4,0.4,6632300
06-02-2020,0.4,0.4,0.4,0.4,0.4,22000
07-02-2020,0.39,0.39,0.39,0.39,0.39,1200
10-02-2020,0.41,0.41,0.39,0.39,0.39,40900
11-02-2020,0.4,0.4,0.4,0.4,0.4,20000
12-02-2020,0.4,0.42,0.4,0.41,0.41,41100
13-02-2020,0.41,0.41,0.4,0.4,0.4,2900
14-02-2020,0.4,0.4,0.4,0.4,0.4,300
18-02-2020,0.4,0.4,0.4,0.4,0.4,50000
19-02-2020,0.41,0.42,0.41,0.42,0.42,36700
20-02-2020,0.41,0.42,0.41,0.42,0.42,1800
21-02-2020,0.42,0.42,0.42,0.42,0.42,100
24-02-2020,0.4,0.41,0.39,0.39,0.39,23000
25-02-2020,0.39,0.41,0.39,0.4,0.4,61800
26-02-2020,0.4,0.4,0.4,0.4,0.4,500
27-02-2020,0.4,0.41,0.39,0.41,0.41,24200
28-02-2020,0.38,0.4,0.38,0.38,0.38,3100
02-03-2020,0.41,0.41,0.4,0.4,0.4,3000
03-03-2020,0.41,0.41,0.41,0.41,0.41,200
04-03-2020,0.4,0.4,0.4,0.4,0.4,1000
05-03-2020,0.4,0.41,0.39,0.39,0.39,34000
06-03-2020,0.4,0.4,0.4,0.4,0.4,100
09-03-2020,0.39,0.39,0.36,0.39,0.39,114400
