Date,Open,High,Low,Close,Adj Close,Volume
25-06-2019,16.700001,16.700001,16.48,16.48,15.609394,57200
26-06-2019,16.639999,17.030001,16.639999,16.809999,15.921961,45500
27-06-2019,16.969999,17.1,16.84,16.98,16.082979,56000
28-06-2019,17.120001,17.17,17.120001,17.15,16.243999,106000
01-07-2019,16.91,16.91,16.52,16.530001,16.530001,75800
02-07-2019,16.549999,16.549999,16.23,16.299999,16.299999,39900
03-07-2019,16.02,16.15,16.02,16.110001,16.110001,39100
05-07-2019,16.24,16.24,15.89,15.92,15.92,70700
08-07-2019,15.81,15.83,15.78,15.81,15.81,185300
09-07-2019,15.38,15.75,15.38,15.69,15.69,46800
10-07-2019,15.8,15.8,15.63,15.75,15.75,43700
11-07-2019,16.030001,16.030001,15.53,15.72,15.72,58700
12-07-2019,15.79,16,15.79,15.99,15.99,826000
15-07-2019,16,16,15.95,15.98,15.98,1520700
16-07-2019,15.82,15.96,15.8,15.87,15.87,96000
17-07-2019,15.93,15.93,15.76,15.78,15.78,59300
18-07-2019,15.76,15.84,15.76,15.79,15.79,36600
19-07-2019,15.86,15.97,15.85,15.92,15.92,89600
22-07-2019,15.8,15.97,15.62,15.72,15.72,75100
23-07-2019,15.83,15.88,15.73,15.79,15.79,106800
24-07-2019,15.95,15.95,15.76,15.84,15.84,111000
25-07-2019,15.85,15.85,15.68,15.68,15.68,61300
26-07-2019,16,16,15.52,15.76,15.76,69100
29-07-2019,15.77,15.77,15.55,15.56,15.56,50200
30-07-2019,15.61,15.67,15.42,15.55,15.55,55200
31-07-2019,15.75,15.75,15.1,15.36,15.36,81300
01-08-2019,15.47,15.47,14.99,15,15,97500
02-08-2019,14.59,15.08,14.59,14.99,14.99,85500
05-08-2019,14.47,14.69,14.37,14.39,14.39,106500
06-08-2019,14.68,14.68,14.41,14.5,14.5,193800
07-08-2019,14.48,14.59,14.37,14.52,14.52,111600
08-08-2019,14.48,14.62,14.48,14.57,14.57,119400
09-08-2019,14.64,14.64,14.38,14.51,14.51,178000
12-08-2019,14.34,14.45,14.34,14.39,14.39,119800
13-08-2019,14.43,14.61,14.43,14.49,14.49,289200
14-08-2019,14.12,14.24,14.1,14.12,14.12,353300
15-08-2019,14.15,14.5,14.15,14.41,14.41,237000
16-08-2019,14.51,14.6,14.49,14.58,14.58,175800
19-08-2019,14.65,14.66,14.57,14.58,14.58,110200
20-08-2019,14.29,14.65,14.29,14.48,14.48,143600
21-08-2019,14.63,14.73,14.6,14.62,14.62,77300
22-08-2019,14.42,14.68,14.42,14.63,14.63,222700
23-08-2019,14.22,14.68,14.22,14.37,14.37,312400
26-08-2019,14.34,14.6,14.34,14.53,14.53,120300
27-08-2019,14.76,14.83,14.68,14.72,14.72,155200
28-08-2019,14.83,14.87,14.62,14.82,14.82,112400
29-08-2019,14.74,14.81,14.67,14.79,14.79,130800
30-08-2019,14.86,14.86,14.72,14.76,14.76,78000
03-09-2019,14.7,14.7,14.56,14.63,14.63,102800
04-09-2019,14.9,14.98,14.84,14.98,14.98,133000
05-09-2019,15.25,15.31,15.25,15.31,15.31,66300
06-09-2019,15.26,15.36,15.26,15.29,15.29,82500
09-09-2019,15.44,15.44,15.3,15.35,15.35,89800
10-09-2019,15.27,15.47,15.27,15.36,15.36,161900
11-09-2019,15.48,15.82,15.4,15.78,15.78,102100
12-09-2019,15.78,15.82,15.61,15.74,15.74,58800
13-09-2019,15.77,15.92,15.77,15.86,15.86,91000
16-09-2019,15.44,15.6,15.44,15.55,15.55,138500
17-09-2019,15.29,15.38,15.25,15.38,15.38,40000
18-09-2019,15.59,15.59,15.2,15.24,15.24,43700
19-09-2019,15.25,15.26,15.1,15.17,15.17,58000
20-09-2019,15.41,15.41,15.05,15.14,15.14,46500
23-09-2019,14.85,15.21,14.85,15.21,15.21,116000
24-09-2019,14.95,15.25,14.85,15.01,15.01,298900
25-09-2019,14.95,15.04,14.93,15,15,350700
26-09-2019,14.88,15.12,14.88,15.05,15.05,177600
27-09-2019,15.05,15.05,14.84,14.92,14.92,100500
30-09-2019,15.4,15.4,15.09,15.14,15.14,56300
01-10-2019,14.88,15.16,14.88,15.06,15.06,71300
02-10-2019,14.8,15.12,14.8,15.08,15.08,69000
03-10-2019,14.93,15.25,14.93,15.19,15.19,69800
