Date,Open,High,Low,Close,Adj Close,Volume
25-06-2019,5.72,5.77,5.71,5.77,5.77,116800
26-06-2019,5.83,5.86,5.82,5.84,5.84,61300
27-06-2019,5.91,5.94,5.9,5.92,5.92,58200
28-06-2019,5.96,6,5.92,5.94,5.94,36000
01-07-2019,6.13,6.13,6.01,6.05,6.05,44800
02-07-2019,6.04,6.06,6.01,6.02,6.02,38500
03-07-2019,6.1,6.12,6.09,6.1,6.1,37400
05-07-2019,6.23,6.24,6.16,6.2,6.2,31800
08-07-2019,6.07,6.12,6.07,6.1,6.1,36600
09-07-2019,6.06,6.09,6.06,6.07,6.07,113500
10-07-2019,6.17,6.2,6.11,6.12,6.12,93100
11-07-2019,6.12,6.15,6.11,6.14,6.14,35900
12-07-2019,6.15,6.16,6.12,6.15,6.15,48200
15-07-2019,6.15,6.16,6.12,6.15,6.15,90900
16-07-2019,6.2,6.21,6.15,6.17,6.17,14500
17-07-2019,6.11,6.11,6.08,6.09,6.09,57800
18-07-2019,6.01,6.06,5.99,6.04,6.04,51600
19-07-2019,6,6,5.95,5.99,5.99,13600
22-07-2019,6,6.02,5.97,6,6,23500
23-07-2019,6.1,6.11,6.08,6.11,6.11,21000
24-07-2019,6.08,6.14,6.08,6.14,6.14,23700
25-07-2019,6.15,6.15,6.05,6.08,6.08,87900
26-07-2019,6.07,6.07,6.04,6.06,6.06,19500
29-07-2019,6.05,6.06,6.01,6.02,6.02,27400
30-07-2019,5.84,5.89,5.84,5.87,5.87,51100
31-07-2019,6,6,5.86,5.94,5.94,143600
01-08-2019,5.92,6.02,5.78,5.85,5.85,43400
02-08-2019,5.73,5.8,5.68,5.8,5.8,61800
05-08-2019,5.68,5.72,5.64,5.66,5.66,36400
06-08-2019,5.72,5.79,5.65,5.79,5.79,129000
07-08-2019,5.61,5.74,5.59,5.67,5.67,133800
08-08-2019,5.66,5.75,5.66,5.7,5.7,78900
09-08-2019,5.66,5.75,5.63,5.69,5.69,91800
12-08-2019,5.6,5.62,5.52,5.54,5.54,48900
13-08-2019,5.6,5.67,5.59,5.64,5.64,216400
14-08-2019,5.52,5.54,5.46,5.51,5.51,2420800
15-08-2019,5.5,5.51,5.41,5.48,5.48,115500
16-08-2019,5.48,5.63,5.48,5.61,5.61,48700
19-08-2019,5.65,5.72,5.59,5.62,5.62,110600
20-08-2019,5.55,5.6,5.54,5.55,5.55,294900
21-08-2019,5.6,5.61,5.56,5.59,5.59,194400
22-08-2019,5.66,5.66,5.61,5.63,5.63,79800
23-08-2019,5.59,5.62,5.5,5.5,5.5,74100
26-08-2019,5.6,5.61,5.56,5.58,5.58,35500
27-08-2019,5.59,5.59,5.53,5.53,5.53,349500
28-08-2019,5.5,5.57,5.5,5.55,5.55,162300
29-08-2019,5.61,5.64,5.6,5.62,5.62,69100
30-08-2019,5.71,5.72,5.64,5.66,5.66,46500
03-09-2019,5.61,5.63,5.58,5.63,5.63,93100
04-09-2019,5.7,5.7,5.64,5.66,5.66,163500
05-09-2019,5.86,5.87,5.8,5.83,5.83,93900
06-09-2019,5.86,5.88,5.83,5.84,5.84,54200
09-09-2019,6,6.07,5.99,6.05,6.05,31200
10-09-2019,6.21,6.22,6.16,6.18,6.18,129000
11-09-2019,6.11,6.11,6.04,6.09,6.09,49000
12-09-2019,6.07,6.16,6.06,6.16,6.16,79700
13-09-2019,6.26,6.34,6.22,6.28,6.28,48200
16-09-2019,6.21,6.23,6.19,6.21,6.21,14900
17-09-2019,6.07,6.1,6.06,6.07,6.07,43500
18-09-2019,6.02,6.11,6.02,6.11,6.11,23900
19-09-2019,6.18,6.18,6.1,6.13,6.13,82000
20-09-2019,6.21,6.21,6.13,6.18,6.18,39500
23-09-2019,6.02,6.1,6,6.09,6.09,76100
24-09-2019,6.01,6.02,5.9,5.95,5.95,41100
25-09-2019,5.92,5.99,5.92,5.98,5.98,51300
26-09-2019,6.03,6.03,6,6.02,6.02,76700
27-09-2019,5.98,6,5.96,5.99,5.99,64300
30-09-2019,6,6.03,5.99,6,6,40300
01-10-2019,6.02,6.02,5.9,5.93,5.93,80400
02-10-2019,5.78,5.79,5.74,5.78,5.78,50000
03-10-2019,5.74,5.77,5.69,5.75,5.75,84100
04-10-2019,5.73,5.8,5.71,5.8,5.8,41000
07-10-2019,5.77,5.83,5.76,5.76,5.76,53200
08-10-2019,5.68,5.76,5.66,5.68,5.68,131100
09-10-2019,5.69,5.73,5.67,5.71,5.71,104200
10-10-2019,5.8,5.86,5.79,5.83,5.83,64500
11-10-2019,6.11,6.17,6.08,6.08,6.08,68300
14-10-2019,6.1,6.15,6.1,6.12,6.12,30100
15-10-2019,6.11,6.25,6.11,6.24,6.24,38100
