Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,47.939999,48.570000,45.900002,45.970001,43.865891,3838400
2019-10-02,44.669998,45.169998,44.360001,44.930000,42.873489,4759500
2019-10-03,44.849998,45.389999,44.369999,45.310001,43.236099,3422400
2019-10-04,45.180000,45.779999,45.009998,45.340000,43.264725,3512300
2019-10-07,45.080002,45.770000,44.764999,45.169998,43.102505,2977900
2019-10-08,44.750000,45.049999,43.830002,43.849998,41.842926,2985900
2019-10-09,44.389999,44.540001,44.000000,44.009998,41.995598,2844600
2019-10-10,44.330002,45.290001,44.020000,44.919998,42.863945,4325000
2019-10-11,45.750000,47.720001,45.502998,47.130001,44.972794,3675700
2019-10-14,46.720001,47.270000,46.240002,46.820000,44.676983,3196500
2019-10-15,46.820000,48.099998,46.529999,47.200001,45.039593,3216800
2019-10-16,47.490002,47.919998,47.009998,47.119999,44.963249,3626900
2019-10-17,47.439999,48.540001,47.139999,47.810001,45.621670,2724400
2019-10-18,47.910000,48.191002,47.360001,47.959999,45.764801,2757600
2019-10-21,48.590000,48.970001,47.090000,47.119999,44.963249,3967000
2019-10-22,47.080002,47.383999,46.020000,46.820000,44.676983,4645400
2019-10-23,46.779999,47.509998,46.549999,47.230000,45.068214,4152000
2019-10-24,48.650002,49.990002,47.840000,49.470001,47.205692,6098900
2019-10-25,49.779999,50.759998,48.900002,50.480000,48.169456,5361100
2019-10-28,50.750000,51.439999,50.430000,51.209999,48.866047,4504100
2019-10-29,50.959999,51.630001,50.369999,51.490002,49.133232,3462100
2019-10-30,51.200001,51.470001,50.330002,51.029999,48.694286,3602100
2019-10-31,50.880001,51.029999,49.709999,50.490002,48.179005,3744000
2019-11-01,50.980000,52.490002,50.900002,52.310001,49.915703,3207100
2019-11-04,52.650002,54.410000,52.459999,54.169998,51.690559,5430200
2019-11-05,54.009998,55.000000,53.650002,54.200001,51.719189,6044500
2019-11-06,54.160000,54.740002,53.810001,54.279999,51.795525,3847000
2019-11-07,54.939999,55.939999,54.419998,55.799999,53.245953,5974300
2019-11-08,55.500000,55.990002,55.020000,55.990002,53.427261,4812000
2019-11-11,55.549999,56.250000,55.220001,55.810001,53.255497,3184900
2019-11-12,56.000000,56.110001,54.529999,55.160000,52.635246,2742700
2019-11-13,54.189999,54.480000,53.459999,53.660000,51.203907,3426000
2019-11-14,53.299999,54.139999,53.150002,53.950001,51.480633,2595500
2019-11-15,54.270000,55.290001,54.139999,54.860001,52.348980,3865000
2019-11-18,54.750000,54.910000,54.119999,54.320000,51.833694,3439900
2019-11-19,54.810001,54.810001,52.790001,53.389999,50.946262,5208300
2019-11-20,53.139999,53.450001,52.099998,52.669998,50.259220,5394100
2019-11-21,52.709999,53.919998,52.349998,53.880001,51.413834,4618400
2019-11-22,53.980000,54.660000,53.599998,54.200001,51.719189,3115600
2019-11-25,54.820000,55.230000,54.360001,55.200001,52.673416,5073700
2019-11-26,55.250000,55.750000,54.820000,55.369999,52.835636,4643800
2019-11-27,54.680000,54.900002,53.900002,54.279999,52.458721,3926000
2019-11-29,54.009998,54.279999,53.119999,53.369999,51.579254,1887600
2019-12-02,53.000000,53.750000,52.889999,53.160000,51.376301,3349500
2019-12-03,51.959999,52.009998,51.049999,51.820000,50.081261,3950100
2019-12-04,53.490002,53.490002,52.209999,52.279999,50.525829,3791400
2019-12-05,52.529999,52.650002,51.680000,52.000000,50.255222,2692600
2019-12-06,52.590000,53.750000,52.590000,53.220001,51.434292,2818800
2019-12-09,53.959999,53.980000,52.990002,53.270000,51.482613,2377200
2019-12-10,53.360001,53.389999,52.689999,53.130001,51.347309,2609700
2019-12-11,53.500000,54.070000,53.049999,53.099998,51.318314,3253300
2019-12-12,53.250000,54.580002,52.820000,54.450001,52.623020,2882300
2019-12-13,54.639999,54.820000,53.250000,53.279999,51.492271,3198600
2019-12-16,53.610001,54.540001,53.509998,54.169998,52.352409,4040000
