Date, Open, High, Low, Close, Volume
06/24/20, 12.413, 12.413, 12.413, 12.413, 94965
06/23/20, 12.594, 12.594, 12.594, 12.594, 83190
06/22/20, 12.542, 12.542, 12.542, 12.542, 63580
06/19/20, 13.368, 13.368, 13.368, 13.368, 63057
06/18/20, 13.187, 13.187, 13.187, 13.187, 57986
06/17/20, 13.213, 13.213, 13.213, 13.213, 85815
06/16/20, 13.213, 13.213, 13.213, 13.213, 45447
06/15/20, 13.032, 13.032, 13.032, 13.032, 64607
06/12/20, 13.213, 13.213, 13.213, 13.213, 33183
06/11/20, 13.316, 13.316, 13.316, 13.316, 100889
06/10/20, 13.497, 13.497, 13.497, 13.497, 149827
06/09/20, 13.445, 13.445, 13.445, 13.445, 169895
06/08/20, 13.316, 13.316, 13.316, 13.316, 137631
06/05/20, 13.497, 13.497, 13.497, 13.497, 69706
06/04/20, 13.342, 13.342, 13.342, 13.342, 39824
06/03/20, 13.264, 13.264, 13.264, 13.264, 65016
06/02/20, 13.264, 13.264, 13.264, 13.264, 865391
06/01/20, 13.159, 13.159, 13.159, 13.159, 51235
05/29/20, 12.902, 12.902, 12.902, 12.902, 658033
05/28/20, 12.976, 12.976, 12.976, 12.976, 113781
05/27/20, 12.874, 12.874, 12.874, 12.874, 110766
05/26/20, 12.847, 12.847, 12.847, 12.847, 96524
05/22/20, 12.739, 12.739, 12.739, 12.739, 120503
05/21/20, 13.05, 13.05, 13.05, 13.05, 163047
05/20/20, 13.161, 13.161, 13.161, 13.161, 93025
05/19/20, 13.134, 13.134, 13.134, 13.134, 84465
05/18/20, 13.03, 13.03, 13.03, 13.03, 74198
05/15/20, 12.952, 12.952, 12.952, 12.952, 132837
05/14/20, 12.979, 12.979, 12.979, 12.979, 66652
05/13/20, 13.135, 13.135, 13.135, 13.135, 54472
05/12/20, 13.16, 13.16, 13.16, 13.16, 43922
05/11/20, 13.341, 13.341, 13.341, 13.341, 51652
05/08/20, 13.184, 13.184, 13.184, 13.184, 108783
05/07/20, 13.082, 13.082, 13.082, 13.082, 62992
05/06/20, 13.132, 13.132, 13.132, 13.132, 44150
05/05/20, 13.027, 13.027, 13.027, 13.027, 79607
05/04/20, 13.052, 13.052, 13.052, 13.052, 114080
05/01/20, 13.596, 13.596, 13.596, 13.596, 115328
04/30/20, 13.596, 13.596, 13.596, 13.596, 42654
04/29/20, 13.599, 13.599, 13.599, 13.599, 80411
04/28/20, 13.548, 13.548, 13.548, 13.548, 211376
04/27/20, 13.368, 13.368, 13.368, 13.368, 101825
04/24/20, 13.057, 13.057, 13.057, 13.057, 83967
04/23/20, 13.058, 13.058, 13.058, 13.058, 94269
04/22/20, 13.032, 13.032, 13.032, 13.032, 114686
04/21/20, 13.032, 13.032, 13.032, 13.032, 142789
04/20/20, 13.212, 13.212, 13.212, 13.212, 124222
04/17/20, 13.264, 13.264, 13.264, 13.264, 83383
04/16/20, 13.134, 13.134, 13.134, 13.134, 95575
04/15/20, 13.315, 13.315, 13.315, 13.315, 62170
04/14/20, 13.442, 13.442, 13.442, 13.442, 344582
04/13/20, 13.44, 13.44, 13.44, 13.44, 115214
04/09/20, 13.44, 13.44, 13.44, 13.44, 89657
