Date,Open,High,Low,Close,Adj Close,Volume
25-06-2019,14.33,14.36,14.26,14.34,13.529289,24700
26-06-2019,14.37,14.43,14.34,14.35,13.538724,37600
27-06-2019,14.39,14.51,14.39,14.5,13.680243,57600
28-06-2019,14.53,14.56,14.51,14.53,13.708547,60900
01-07-2019,14.79,14.81,14.69,14.71,13.878371,20800
02-07-2019,14.74,14.74,14.24,14.49,13.670809,36100
03-07-2019,14.28,14.36,14.24,14.34,13.529289,41400
05-07-2019,14.17,14.17,14.05,14.13,13.331161,28700
08-07-2019,14.08,14.15,14.08,14.13,13.331161,19600
09-07-2019,14.02,14.05,14.01,14.05,13.255684,33200
10-07-2019,14.1,14.12,14.04,14.1,13.302857,46700
11-07-2019,13.81,14.02,13.81,13.99,13.199076,40300
12-07-2019,13.94,14.07,13.94,14.04,13.246249,27000
15-07-2019,13.99,14.05,13.99,14.04,13.246249,55400
16-07-2019,14.07,14.13,14.06,14.07,13.274553,34100
17-07-2019,14.07,14.07,14.04,14.05,13.255684,42500
18-07-2019,14.07,14.09,14.04,14.07,13.274553,18400
19-07-2019,14.22,14.26,14.15,14.2,13.397203,31200
22-07-2019,13.9,14.1,13.9,14.09,13.293423,45100
23-07-2019,14.14,14.15,14.11,14.15,13.35003,28500
24-07-2019,14.34,14.34,14.12,14.12,13.321727,21400
25-07-2019,14.11,14.15,14.09,14.12,13.321727,36500
26-07-2019,14.09,14.09,13.98,14.08,13.283988,33600
29-07-2019,13.79,13.79,13.67,13.67,12.897167,20600
30-07-2019,13.58,13.6,13.53,13.58,12.812255,22000
31-07-2019,13.52,13.53,13.37,13.41,12.651866,33500
01-08-2019,13.3,13.43,13.03,13.13,12.387696,57400
02-08-2019,13.11,13.15,13.02,13.03,12.293349,46700
05-08-2019,12.89,12.96,12.6,12.64,11.925399,79600
06-08-2019,12.64,12.73,12.59,12.65,11.934833,132200
07-08-2019,12.53,12.76,12.53,12.66,11.944267,62900
08-08-2019,12.62,12.77,12.62,12.73,12.01031,69500
09-08-2019,12.68,12.68,12.6,12.61,11.897094,147300
12-08-2019,12.58,12.58,12.5,12.54,11.831052,92800
13-08-2019,12.5,12.63,12.43,12.54,11.831052,240200
14-08-2019,12.43,12.43,12.27,12.29,11.595185,103700
15-08-2019,12.48,12.54,12.46,12.53,11.821617,165300
16-08-2019,12.62,12.64,12.54,12.61,11.897094,105000
19-08-2019,12.65,12.65,12.56,12.58,11.868791,74200
20-08-2019,12.5,12.52,12.45,12.46,11.755574,106000
21-08-2019,12.51,12.55,12.5,12.5,11.793313,93600
22-08-2019,12.31,12.56,12.31,12.46,11.755574,94600
23-08-2019,12.57,12.57,12.23,12.26,11.566882,72800
26-08-2019,12.35,12.47,12.35,12.4,11.698966,55200
27-08-2019,12.42,12.49,12.36,12.39,11.689532,126600
28-08-2019,12.1,12.44,12.1,12.4,11.698966,59400
29-08-2019,12.49,12.57,12.43,12.49,11.783878,55800
30-08-2019,12.53,12.61,12.48,12.52,11.812183,40400
03-09-2019,12.43,12.53,12.43,12.53,11.821617,46100
04-09-2019,12.8,12.91,12.78,12.88,12.15183,76400
05-09-2019,13.09,13.09,13.02,13.02,12.283916,66100
06-09-2019,13.18,13.19,13.11,13.11,12.368827,52600
09-09-2019,13.23,13.23,13.16,13.19,12.444304,2152200
10-09-2019,13.22,13.33,13.22,13.25,12.500912,110900
11-09-2019,13.34,13.7,13.34,13.7,12.925471,139300
12-09-2019,13.7,13.79,13.64,13.69,12.916037,17800
13-09-2019,13.89,13.89,13.78,13.84,13.057556,70200
16-09-2019,13.75,13.77,13.7,13.77,12.991514,9600
17-09-2019,13.24,13.62,13.24,13.61,12.840559,24600
18-09-2019,13.45,13.51,13.33,13.41,12.651866,26400
19-09-2019,13.36,13.41,13.27,13.33,12.576389,473800
20-09-2019,13.5,13.5,13.3,13.31,12.55752,33400
23-09-2019,13.34,13.39,13.31,13.36,12.604692,49500
24-09-2019,13.59,13.59,13.23,13.26,12.510346,186900
25-09-2019,13.14,13.33,13.14,13.28,12.529216,39100
26-09-2019,13.37,13.37,13.22,13.29,12.538651,29100
27-09-2019,13.22,13.22,13.02,13.06,12.321654,40800
30-09-2019,12.97,13.4,12.97,13.31,12.55752,37300
01-10-2019,13.31,13.35,13.21,13.3,12.548085,42400
02-10-2019,13,13.23,13,13.23,12.482042,30700
03-10-2019,13.26,13.38,13.26,13.34,12.585824,28000
04-10-2019,13.17,13.23,13.12,13.15,12.406565,37900
07-10-2019,13.09,13.12,13.05,13.11,12.368827,30300
08-10-2019,13.26,13.28,13.16,13.22,12.472609,23100
09-10-2019,13.39,13.41,13.33,13.37,12.614128,43300
10-10-2019,13.16,13.5,13.16,13.47,12.708474,40700
11-10-2019,13.56,13.78,13.56,13.7,12.925471,44700
14-10-2019,13.71,13.78,13.71,13.74,12.963209,61400
15-10-2019,13.85,13.91,13.81,13.87,13.08586,37200
16-10-2019,13.84,13.87,13.84,13.86,13.076426,22700
17-10-2019,13.91,13.98,13.91,13.92,13.133034,13900
18-10-2019,13.79,13.82,13.71,13.74,12.963209,46700
21-10-2019,13.77,13.85,13.77,13.85,13.066992,58600
22-10-2019,13.89,13.92,13.83,13.84,13.057556,39900
23-10-2019,13.95,14,13.95,14,13.20851,40400
24-10-2019,14.16,14.26,14.16,14.19,13.387769,29600
25-10-2019,14.44,14.44,14.14,14.25,13.444377,16500
28-10-2019,14.44,14.55,14.44,14.47,13.651939,21900
29-10-2019,14.38,14.38,14.19,14.2,13.397203,236000
30-10-2019,14,14.18,14,14.18,13.378335,43900
31-10-2019,14.56,14.56,14.19,14.22,13.416073,34000
01-11-2019,14.51,14.61,14.48,14.58,13.75572,165500
04-11-2019,14.75,14.88,14.75,14.76,13.925545,42000
05-11-2019,14.93,14.93,14.7,14.75,13.916109,44900
06-11-2019,14.73,14.77,14.72,14.74,13.906674,41300
07-11-2019,14.95,15.02,14.95,14.98,14.133106,70500
08-11-2019,14.92,14.99,14.89,14.89,14.048195,26300
11-11-2019,14.6,14.75,14.4,14.64,13.812328,52500
12-11-2019,14.69,14.69,14.44,14.44,13.623635,28400
13-11-2019,14.4,14.4,14.25,14.3,13.49155,37500
14-11-2019,14.22,14.22,14.18,14.2,13.397203,34300
15-11-2019,14.19,14.34,14.19,14.32,13.510419,83600
18-11-2019,14.4,14.52,14.4,14.49,13.670809,24500
19-11-2019,14.68,14.98,14.65,14.66,13.831198,33300
20-11-2019,14.61,14.74,14.6,14.66,13.831198,30500
21-11-2019,14.51,14.56,14.5,14.53,13.708547,31400
22-11-2019,14.47,14.47,14.37,14.37,13.557592,20400
25-11-2019,14.62,14.7,14.62,14.65,13.821763,22800
26-11-2019,14.66,14.7,14.65,14.69,13.859501,38200
27-11-2019,14.9,14.9,14.54,14.75,13.916109,17800
29-11-2019,14.22,14.27,14.2,14.2,13.397203,32400
02-12-2019,14.33,14.5,14.1,14.11,13.312291,57100
03-12-2019,14,14,13.91,13.96,13.170773,41300
04-12-2019,14.28,14.28,14,14.03,13.236814,33000
05-12-2019,13.9,14.01,13.9,13.99,13.199076,33100
06-12-2019,14.1,14.15,14.1,14.12,13.321727,40800
09-12-2019,14.19,14.24,14.1,14.16,13.359465,98100
10-12-2019,14.3,14.3,14.14,14.19,13.387769,106300
11-12-2019,14.35,14.44,14.33,14.42,13.604766,35200
12-12-2019,14.14,14.68,14.14,14.65,13.821763,65900
13-12-2019,14.6,14.85,14.6,14.65,13.821763,46800
16-12-2019,14.47,14.77,14.47,14.74,13.906674,53500
17-12-2019,14.98,15.19,14.98,15.11,14.255756,672000
18-12-2019,15.36,15.36,15.13,15.18,14.3218,132300
19-12-2019,14.88,15.29,14.88,15.22,14.359538,28600
20-12-2019,15.27,15.33,15.27,15.33,14.463319,53100
23-12-2019,15,15.3,15,15.24,14.378407,39100
24-12-2019,15.22,15.24,15.2,15.21,14.350103,13800
26-12-2019,15.31,15.34,15.3,15.3,14.435016,32800
27-12-2019,15.45,15.45,15.31,15.37,14.501058,54700
30-12-2019,15.05,15.31,15.05,15.2,14.340669,33400
31-12-2019,15.1,15.37,15.1,15.37,14.501058,17800
02-01-2020,15.41,15.63,15.41,15.63,14.746359,22500
03-01-2020,15.6,15.6,15.29,15.29,14.425581,39300
06-01-2020,15.19,15.3,15.19,15.21,14.350103,35300
07-01-2020,15.15,15.15,15.11,15.11,14.255756,30500
08-01-2020,15.09,15.16,15.01,15.1,14.246323,23900
09-01-2020,15.46,15.5,15.06,15.22,14.359538,28700
10-01-2020,15.34,15.34,15.23,15.29,14.425581,55600
13-01-2020,15.57,15.57,15.08,15.37,14.501058,92200
14-01-2020,15.07,15.3,15.05,15.11,14.255756,21200
15-01-2020,15.1,15.21,15.1,15.13,14.274627,19200
16-01-2020,15.1,15.22,15.06,15.08,14.227453,34000
17-01-2020,15.1,15.17,15.1,15.14,14.284061,26900
21-01-2020,14.6,14.6,14.44,14.44,13.623635,118900
22-01-2020,14.58,14.6,14.48,14.52,13.699113,69400
23-01-2020,14.4,14.64,14.31,14.45,13.63307,67000
24-01-2020,14.44,14.44,14.12,14.25,13.444377,105100
27-01-2020,13.6,13.77,13.5,13.68,12.906602,87600
28-01-2020,13.96,13.96,13.66,13.78,13.000948,60900
29-01-2020,13.81,13.82,13.74,13.79,13.010383,27800
30-01-2020,13.52,13.65,13.43,13.6,12.831125,81200
31-01-2020,13.42,13.42,13.23,13.23,12.482042,86100
03-02-2020,13.29,13.58,13.24,13.5,12.736778,69200
04-02-2020,13.5,13.78,13.5,13.73,12.953774,112600
05-02-2020,13.74,13.88,13.74,13.81,13.029253,59300
06-02-2020,13.76,14.1,13.76,13.91,13.123599,81400
07-02-2020,13.66,14.06,13.66,13.88,13.095295,46200
10-02-2020,13.9,13.92,13.85,13.89,13.10473,192500
11-02-2020,14.23,14.31,14.21,14.23,13.425508,51600
12-02-2020,14.55,14.55,14.28,14.34,13.529289,73100
13-02-2020,14.32,14.32,14.06,14.06,13.265119,149600
14-02-2020,14.12,14.18,14.08,14.14,13.340596,51100
18-02-2020,14.32,14.32,14,14.08,13.283988,33200
19-02-2020,14.26,14.26,14.2,14.23,13.425508,45300
20-02-2020,14.12,14.18,14.06,14.06,13.265119,36600
21-02-2020,13.91,14.18,13.91,14.16,13.359465,75400
24-02-2020,13.89,13.89,13.29,13.69,12.916037,59600
25-02-2020,13.25,13.7,13.25,13.53,12.765082,174200
26-02-2020,13.41,13.74,13.41,13.67,12.897167,88300
27-02-2020,13.49,13.88,13.49,13.75,12.972645,64400
28-02-2020,13.17,13.77,13.17,13.77,12.991514,105700
02-03-2020,13.71,13.9,13.71,13.83,13.048121,90300
03-03-2020,13.87,14.03,13.83,13.93,13.142468,104000
04-03-2020,13.67,14.03,13.67,14.01,13.217946,77300
05-03-2020,13.71,14.01,13.71,13.93,13.142468,100100
06-03-2020,13.72,13.75,13.51,13.67,12.897167,109200
09-03-2020,13.21,13.3,13.11,13.22,12.472609,114600
10-03-2020,13.16,13.95,13.16,13.93,13.142468,127900
11-03-2020,13.74,13.79,13.64,13.68,12.906602,80000
12-03-2020,12.53,13.2,12.53,12.87,12.142395,244800
13-03-2020,13.38,14.19,13,13.58,12.812255,491500
16-03-2020,11.92,12.9,11.92,12.65,11.934833,137200
17-03-2020,12.36,13.31,12.36,13.29,12.538651,260600
18-03-2020,11.92,12.99,11.92,12.77,12.048049,201200
19-03-2020,12.05,13.12,12.05,12.86,12.13296,228000
20-03-2020,13.1,13.27,12.77,12.84,12.114092,94700
23-03-2020,12.15,13.04,12.15,12.93,12.199003,149400
24-03-2020,12.9,13.65,12.9,13.65,12.878298,191300
25-03-2020,13.63,13.75,13.47,13.68,12.906602,81900
26-03-2020,12.49,13.86,12.49,13.86,13.076426,120800
27-03-2020,13.09,13.8,12.8,13.01,12.274481,78500
