Major Funds: Performance

Name,Last,1 Week,1 Month,YTD,1 Year
"Aditya Birla Sun Life Cash Plus Daily Dividend Rei","100.205","0.01%","-0.00%","0.01%","0.01%"
"Aditya Birla Sun Life Cash Plus Discipline Advanta","216.398","0.06%","0.31%","2.58%","5.55%"
"Aditya Birla Sun Life Cash Plus Dividend Payout Di","175.612","0.07%","0.34%","2.66%","5.76%"
"Aditya Birla Sun Life Cash Plus Fund Institutional","108.033","0.01%","-0.00%","0.01%","0.01%"
"Aditya Birla Sun Life Cash Plus Fund Institutional","535.482","0.07%","0.34%","2.61%","5.67%"
"Aditya Birla Sun Life Cash Plus Fund Institutional","108.088","-0.01%","0.01%","-0.04%","-0.02%"
"Aditya Birla Sun Life Cash Plus Fund Retail Daily","163.709","0.01%","-0.00%","0.01%","0.01%"
"Aditya Birla Sun Life Cash Plus Fund Retail Growth","521.808","0.07%","0.34%","2.61%","5.67%"
"Aditya Birla Sun Life Cash Plus Growth Direct Plan","323.457","0.07%","0.34%","2.66%","5.76%"
"Aditya Birla Sun Life Cash Plus Regular Dividend P","134.546","0.07%","0.34%","2.61%","5.67%"
"Aditya Birla Sun Life Cash Plus Regular Plan Daily","100.204","0.01%","-0.00%","0.01%","0.01%"
"Aditya Birla Sun Life Cash Plus Regular Plan Growt","321.551","0.07%","0.34%","2.61%","5.67%"
"Aditya Birla Sun Life Cash Plus Regular Plan Weekl","100.244","-0.01%","0.01%","-0.04%","-0.02%"
"Aditya Birla Sun Life Cash Plus Weekly Dividend Pa","100.244","-0.01%","0.01%","-0.04%","-0.02%"
"Axis Liquid Daily Dividend Reinvestment","1,001.400","0.00%","0.00%","0.00%","0.00%"
"Axis Liquid Fund Direct Plan Daily Dividend Reinve","1,000.956","0.00%","0.00%","0.00%","0.00%"
"Axis Liquid Fund Direct Plan Growth Option","2,229.905","0.06%","0.30%","2.64%","5.67%"
"Axis Liquid Fund Direct Plan Monthly Dividend Payo","1,000.944","-0.24%","-0.00%","-0.01%","-0.02%"
"Axis Liquid Fund Direct Plan Weekly Dividend Payou","1,002.715","0.06%","0.03%","0.05%","-0.04%"
"Axis Liquid Fund Direct plan Bonus Option","2,215.571","-0.00%","-0.00%","1.99%","5.00%"
"Axis Liquid Institutional Growth","2,219.327","0.06%","0.30%","2.61%","5.61%"
"Axis Liquid Institutional Monthly Dividend Payout","1,001.529","-0.24%","-0.00%","-0.01%","-0.56%"
"Axis Liquid Institutional Weekly Dividend Payout","1,002.704","0.06%","0.03%","0.05%","-0.05%"
"Axis Liquid Retail Daily Dividend Reinvestment","1,000.956","0.00%","0.00%","0.00%","0.00%"
"HDFC Balanced Adv Direct Plan Dividend Payout Opti","22.790","-0.52%","7.08%","-19.84%","-27.20%"
"HDFC Liquid Fund -Direct Plan - Growth Option","3,950.488","0.06%","0.30%","2.54%","5.53%"
"HDFC Liquid Fund -Direct Plan Daily Dividend Reinv","1,019.820","-0.00%","-0.00%","-0.00%","-0.00%"
"HDFC Liquid Fund -Direct Plan Monthly Dividend Pay","1,029.466","0.06%","0.30%","0.30%","0.20%"
"HDFC Liquid Fund -Direct Plan Weekly Dividend Payo","1,031.677","-0.01%","0.05%","0.05%","-0.04%"
"HDFC Liquid Fund Daily Dividend Reinvestment","1,019.820","-0.00%","-0.00%","-0.00%","-0.00%"
"HDFC Liquid Fund Growth","3,926.267","0.06%","0.29%","2.49%","5.42%"
"HDFC Liquid Fund Monthly Dividend Payout","1,029.373","0.06%","0.29%","0.29%","0.20%"
"HDFC Liquid Fund Premium Plan Daily Dividend Reinv","1,225.980","0.00%","0.00%","0.00%","0.00%"
"HDFC Liquid Fund Premium Plan Growth","3,764.092","-0.00%","-0.00%","-0.00%","-0.00%"
"HDFC Liquid Fund Weekly Dividend Payout Reinvestme","1,031.661","-0.01%","0.05%","0.05%","-0.04%"
"ICICI Prudential Liquid Plan Annual Dividend Payou","104.129","0.06%","0.33%","2.61%","-1.52%"
"ICICI Prudential Liquid Plan Daily Dividend Reinve","100.148","-0.00%","-0.00%","-0.00%","-0.00%"
"ICICI Prudential Liquid Plan Direct Plan Annual Di","104.203","0.07%","0.34%","2.67%","-1.50%"
"ICICI Prudential Liquid Plan Direct Plan Bonus","149.190","-0.00%","-0.00%","1.84%","4.84%"
"ICICI Prudential Liquid Plan Direct Plan Daily Div","100.108","-0.00%","-0.00%","-0.00%","-0.00%"
"ICICI Prudential Liquid Plan Direct Plan Dividend","150.034","0.07%","0.34%","2.67%","5.69%"
"ICICI Prudential Liquid Plan Direct Plan Growth","297.339","0.07%","0.34%","2.67%","5.69%"
"ICICI Prudential Liquid Plan Direct Plan Half Year","105.854","0.07%","0.34%","-0.17%","-0.61%"
"ICICI Prudential Liquid Plan Direct Plan Monthly D","100.536","0.07%","0.34%","0.33%","0.29%"
