Date,Open,High,Low,Close
30-Jun-20,2327.42,2330.84,2327.42,2330.38
29-Jun-20,2322.47,2328.98,2322.47,2327.02
26-Jun-20,2321.35,2323.49,2321.01,2321.37
25-Jun-20,2315.76,2320.95,2315.76,2320.95
24-Jun-20,2316.52,2318.1,2314.97,2315.36
23-Jun-20,2318.42,2318.42,2315.61,2316.12
22-Jun-20,2317.75,2321.3,2317.48,2318.02
19-Jun-20,2316.17,2318.63,2315.96,2316.64
18-Jun-20,2311.3,2315.76,2310.61,2315.77
17-Jun-20,2309.99,2311.69,2308.42,2310.9
16-Jun-20,2314.62,2315.23,2308.01,2309.58
15-Jun-20,2313.29,2314.81,2312.69,2314.22
12-Jun-20,2312.23,2313.08,2310.33,2312.18
11-Jun-20,2312.38,2313.85,2311.82,2311.83
10-Jun-20,2311.64,2312.66,2311.63,2311.98
09-Jun-20,2307.9,2312.3,2307.9,2311.24
08-Jun-20,2307.46,2308.45,2307.14,2307.5
05-Jun-20,2307.54,2307.54,2303.35,2306.35
04-Jun-20,2302.94,2307.65,2302.64,2307.14
03-Jun-20,2305.96,2305.96,2302.46,2302.54
02-Jun-20,2301.84,2305.63,2299.54,2305.55
01-Jun-20,2305.93,2305.93,2301.39,2301.44
29-May-20,2306.67,2307.84,2304.54,2305.18
28-May-20,2306.89,2306.9,2305.97,2306.27
27-May-20,2308.38,2309.35,2305.68,2306.49
26-May-20,2307.88,2309.18,2306.6,2307.97
22-May-20,2298.19,2316.68,2298.19,2306.41
21-May-20,2296.27,2298.47,2294.57,2297.78
20-May-20,2297.33,2298.35,2294.34,2295.87
19-May-20,2294.36,2297.93,2293.94,2296.92
18-May-20,2291.03,2293.95,2290.98,2293.95
15-May-20,2293.53,2293.96,2289.8,2289.91
14-May-20,2292.41,2300.86,2292.1,2293.12
13-May-20,2287.25,2292.24,2286.34,2292.01
12-May-20,2289.09,2289.21,2284.07,2286.85
11-May-20,2307.16,2307.16,2281.82,2288.68
08-May-20,2301.57,2306.2,2298.36,2306.05
07-May-20,2301.57,2301.57,2301.57,2301.17
06-May-20,2293.12,2301.08,2293.12,2300.81
05-May-20,2284.33,2292.71,2284.33,2292.72
04-May-20,2279.72,2285.66,2279.26,2283.93
30-Apr-20,2274.2,2278.09,2272.1,2278.23
29-Apr-20,2275.51,2275.51,2273.16,2273.8
28-Apr-20,2274.12,2282.26,2274.12,2275.1
27-Apr-20,2274.39,2277.6,2269.61,2273.71
24-Apr-20,2285.76,2285.76,2272.29,2273.25
23-Apr-20,2269.22,2269.22,2269.22,2285.36
22-Apr-20,2264.64,2264.64,2264.64,2268.82
21-Apr-20,2264.42,2264.42,2264.42,2264.24
20-Apr-20,2245.27,2245.27,2245.27,2264.02
17-Apr-20,2226.05,2226.05,2226.05,2244.12
16-Apr-20,2224.02,2224.02,2224.02,2225.65
15-Apr-20,2207.43,2207.43,2207.43,2223.62
13-Apr-20,2200.37,2200.37,2200.37,2206.64
09-Apr-20,2199.69,2199.69,2199.69,2198.8
08-Apr-20,2203.51,2203.51,2197.4,2199.28
07-Apr-20,2216.92,2216.92,2216.92,2203.1
03-Apr-20,2225.2,2225.2,2214.04,2215.38
01-Apr-20,2225.2,2225.2,2225.2,2224.42
31-Mar-20,2216.34,2230.25,2216.34,2224.04
30-Mar-20,2225.29,2225.29,2219.85,2215.94
27-Mar-20,2198.36,2242.02,2198.36,2224.54
26-Mar-20,2190.49,2200.33,2189.7,2197.96
25-Mar-20,2190.49,2190.49,2190.49,2190.09
24-Mar-20,2175.7,2186.7,2175.7,2189.7
23-Mar-20,2200.66,2200.66,2186.19,2175.3
20-Mar-20,2174.97,2193.62,2174.97,2199.49
19-Mar-20,2197.83,2197.83,2175.17,2174.57
18-Mar-20,2198.75,2202.51,2187.97,2197.43
17-Mar-20,2208.09,2208.09,2200.31,2198.35
16-Mar-20,2202.27,2216.97,2202.27,2207.69
13-Mar-20,2218.18,2218.18,2199.39,2201.1
12-Mar-20,2232.39,2232.39,2217.07,2217.79
11-Mar-20,2238.2,2238.2,2229.7,2231.99
09-Mar-20,2230.8,2243.31,2230.8,2237.43
06-Mar-20,2226.56,2234.91,2226.56,2229.66
05-Mar-20,2228.12,2228.12,2223.67,2226.16
04-Mar-20,2214.31,2228.41,2214.31,2227.72
03-Mar-20,2213.97,2214.15,2211.34,2213.91
02-Mar-20,2210.41,2216.13,2210.41,2213.57
28-Feb-20,2209.03,2209.82,2203.91,2208.86
27-Feb-20,2210.86,2212.99,2207.59,2208.62
26-Feb-20,2207.27,2213.07,2207.27,2210.45
25-Feb-20,2207.7,2208.46,2204.49,2206.87
24-Feb-20,2202.42,2209.15,2202.42,2207.29
20-Feb-20,2204.3,2205.84,2201.96,2200.87
19-Feb-20,2204.3,2204.3,2204.3,2203.9
18-Feb-20,2203.06,2203.58,2200.58,2203.52
17-Feb-20,2205.18,2206.49,2201.61,2202.65
14-Feb-20,2201.56,2203.86,2201.1,2204.02
13-Feb-20,2196.05,2200.62,2195.99,2201.15
12-Feb-20,2194.84,2195.26,2194.14,2195.65
11-Feb-20,2196.17,2198.44,2193.76,2194.43
10-Feb-20,2193.96,2198.92,2193.96,2195.76
07-Feb-20,2189.04,2197.14,2189.04,2192.79
06-Feb-20,2173.9,2187.22,2173.76,2188.64
05-Feb-20,2172.86,2174.29,2172.6,2173.5
04-Feb-20,2172.67,2175.32,2172.67,2172.46
03-Feb-20,2159.22,2172.19,2159.22,2172.27
01-Feb-20,2159.22,2159.22,2159.22,2158.42
31-Jan-20,2161.88,2161.88,2159.8,2158.03
30-Jan-20,2160.97,2161.99,2160.83,2161.47
29-Jan-20,2159.4,2161.44,2158.13,2160.98
28-Jan-20,2162.28,2162.28,2158.86,2158.99
27-Jan-20,2160.12,2162.08,2160.12,2161.88
24-Jan-20,2157.07,2158.93,2156.58,2158.93
23-Jan-20,2152.71,2154.11,2152.71,2156.67
22-Jan-20,2152.77,2153.95,2151.04,2152.3
21-Jan-20,2151.61,2154.67,2151.61,2152.36
20-Jan-20,2151.49,2152.63,2151.48,2151.21
17-Jan-20,2145.52,2151.18,2145.52,2150.3
16-Jan-20,2143.21,2145.67,2142.75,2145.12
15-Jan-20,2138.87,2142.91,2138.87,2142.81
14-Jan-20,2146.33,2146.33,2136.89,2138.47
13-Jan-20,2148.3,2148.3,2144,2145.93
10-Jan-20,2153.45,2153.45,2146.59,2147.1
09-Jan-20,2148.71,2153.21,2148.71,2153.05
08-Jan-20,2148.66,2149.89,2145.49,2148.31
07-Jan-20,2146.91,2150.36,2146.91,2148.26
06-Jan-20,2157.42,2157.42,2148.26,2146.52
03-Jan-20,2152.55,2159.7,2152.55,2156.24
02-Jan-20,2149.3,2151.74,2148.58,2152.16
01-Jan-20,2141.86,2149.03,2141.86,2148.9
31-Dec-19,2142.57,2143.21,2141.14,2141.47
30-Dec-19,2143.74,2143.74,2142.4,2142.15
27-Dec-19,2141.5,2145.29,2141.5,2142.97
26-Dec-19,2141.38,2141.68,2139.88,2141.09
24-Dec-19,2140.76,2142.5,2139.25,2140.58
23-Dec-19,2138.47,2140.3,2137.91,2140.34
20-Dec-19,2128.67,2141.45,2123.28,2137.28
19-Dec-19,2130,2130.37,2127.2,2128.26
18-Dec-19,2126.19,2129.75,2124.87,2129.58
16-Dec-19,2122.56,2123.98,2121.81,2121.53
13-Dec-19,2123.13,2123.13,2119.43,2121.36
12-Dec-19,2123.46,2125.22,2121.84,2122.72
06-Dec-19,2135.36,2136.4,2131.46,2130.19
02-Dec-19,2149.81,2150.19,2147.83,2148.53
29-Nov-19,2149.55,2149.7,2148.39,2148.64
28-Nov-19,2147.79,2149.56,2147.79,2149.13
27-Nov-19,2147.78,2147.78,2146.51,2147.37
26-Nov-19,2148.49,2148.93,2146.74,2147.37
25-Nov-19,2146.4,2149.01,2146.4,2148.07
22-Nov-19,2144.8,2145.95,2144.8,2145.23
21-Nov-19,2148.29,2149.39,2145.59,2144.38
20-Nov-19,2145.39,2147.38,2145.39,2147.88
19-Nov-19,2143.24,2144.88,2143.24,2144.97
18-Nov-19,2141.49,2143.5,2141.49,2142.83
15-Nov-19,2139.11,2140.97,2138.9,2140.32
14-Nov-19,2137.91,2139.95,2137.91,2138.7
13-Nov-19,2133.42,2137.12,2133.42,2137.49
11-Nov-19,2133.95,2133.95,2131.95,2132.63
08-Nov-19,2135.6,2135.6,2131.53,2132.77
07-Nov-19,2136.72,2137.17,2135.06,2135.18
06-Nov-19,2132.72,2136.38,2132.72,2136.31
05-Nov-19,2135.14,2135.14,2131.35,2132.31
04-Nov-19,2136.02,2136.02,2135.13,2134.73
31-Oct-19,2132.41,2133.76,2132.41,2134.52
30-Oct-19,2130.56,2132.82,2130.56,2132
29-Oct-19,2130.64,2130.75,2129.27,2130.56
27-Oct-19,2130.64,2130.64,2130.64,2129.84
25-Oct-19,2129.34,2130.28,2129.07,2129.09
24-Oct-19,2129.26,2129.26,2127.21,2128.92
23-Oct-19,2126.88,2129.56,2126.88,2128.84
22-Oct-19,2126.96,2127.8,2126.86,2126.47
18-Oct-19,2124.1,2126.16,2123.86,2125.4
17-Oct-19,2128.92,2130.16,2124.78,2123.69
16-Oct-19,2126.89,2129.38,2126.8,2128.5
