"Date","Open","High","Low","Close"
"30 Jun 2020","2225.87","2229.46","2225.87","2228.82"
"29 Jun 2020","2223.36","2227.83","2223.36","2225.48"
"26 Jun 2020","2222.86","2225.30","2221.65","2222.26"
"25 Jun 2020","2218.28","2222.47","2218.28","2222.47"
"24 Jun 2020","2219.15","2221.22","2217.53","2217.89"
"23 Jun 2020","2221.50","2221.55","2218.44","2218.76"
"22 Jun 2020","2222.01","2224.18","2220.81","2221.11"
"19 Jun 2020","2221.65","2223.09","2220.83","2220.92"
"18 Jun 2020","2216.52","2221.47","2215.88","2221.26"
"17 Jun 2020","2214.15","2216.12","2213.16","2216.13"
"16 Jun 2020","2220.03","2220.27","2212.25","2213.76"
"15 Jun 2020","2218.70","2221.27","2218.70","2219.64"
"12 Jun 2020","2218.45","2218.77","2215.89","2217.61"
"11 Jun 2020","2218.71","2220.85","2218.05","2218.06"
"10 Jun 2020","2217.67","2219.52","2217.67","2218.32"
"09 Jun 2020","2214.17","2217.63","2214.17","2217.28"
"08 Jun 2020","2213.42","2214.74","2212.84","2213.78"
"05 Jun 2020","2213.85","2213.85","2209.10","2212.33"
"04 Jun 2020","2210.73","2213.77","2209.79","2213.46"
"03 Jun 2020","2213.97","2214.15","2210.24","2210.34"
"02 Jun 2020","2208.22","2213.63","2205.36","2213.58"
"01 Jun 2020","2212.80","2212.80","2207.83","2207.83"
"29 May 2020","2214.51","2216.14","2210.81","2212.06"
"28 May 2020","2214.31","2214.64","2213.41","2214.12"
"27 May 2020","2215.19","2216.91","2213.34","2213.92"
"26 May 2020","2215.35","2216.22","2213.14","2214.80"
"22 May 2020","2204.44","2224.10","2204.44","2213.90"
"21 May 2020","2202.29","2204.63","2200.97","2204.05"
"20 May 2020","2203.14","2204.51","2201.09","2201.90"
"19 May 2020","2200.08","2203.20","2200.08","2202.75"
"18 May 2020","2196.33","2199.84","2196.33","2199.69"
"15 May 2020","2197.54","2199.47","2194.72","2195.23"
"14 May 2020","2193.76","2204.19","2193.76","2197.15"
"13 May 2020","2186.88","2194.30","2184.45","2193.37"
"12 May 2020","2187.81","2188.57","2183.10","2186.49"
"11 May 2020","2209.86","2209.86","2182.15","2187.42"
"08 May 2020","2201.73","2208.80","2199.82","2208.77"
"07 May 2020","2201.73","2201.73","2201.73","2201.34"
"06 May 2020","2193.44","2201.42","2193.44","2200.99"
"05 May 2020","2186.50","2193.25","2186.50","2193.05"
"04 May 2020","2182.61","2187.93","2181.37","2186.11"
"30 Apr 2020","2178.70","2181.20","2176.60","2181.15"
"29 Apr 2020","2177.90","2179.06","2176.60","2178.31"
"28 Apr 2020","2176.47","2182.03","2176.09","2177.51"
"27 Apr 2020","2174.72","2179.73","2172.04","2176.08"
"24 Apr 2020","2188.90","2188.90","2172.73","2173.61"
"23 Apr 2020","2167.95","2167.95","2167.95","2188.51"
"22 Apr 2020","2166.72","2166.72","2166.72","2167.56"
"21 Apr 2020","2165.96","2165.96","2165.96","2166.33"
"20 Apr 2020","2147.18","2147.18","2147.18","2165.57"
"17 Apr 2020","2131.22","2131.22","2131.22","2146.06"
"16 Apr 2020","2129.69","2129.69","2129.69","2130.83"
"15 Apr 2020","2117.15","2117.15","2117.15","2129.30"
"13 Apr 2020","2113.46","2113.46","2113.46","2116.38"
"09 Apr 2020","2113.34","2113.34","2113.34","2111.94"
"08 Apr 2020","2116.57","2117.12","2112.30","2112.95"
"07 Apr 2020","2131.14","2131.14","2131.14","2116.19"
"03 Apr 2020","2143.92","2143.92","2128.71","2129.64"
"01 Apr 2020","2143.92","2143.92","2143.92","2143.18"
"31 Mar 2020","2134.19","2147.63","2134.19","2142.82"
"30 Mar 2020","2143.34","2144.27","2138.07","2133.80"
"27 Mar 2020","2123.71","2154.72","2123.71","2142.63"
"26 Mar 2020","2113.09","2123.17","2111.23","2123.32"
"25 Mar 2020","2113.09","2113.09","2113.09","2112.70"
"24 Mar 2020","2102.14","2110.37","2102.14","2112.33"
"23 Mar 2020","2121.45","2121.45","2111.83","2101.75"
"20 Mar 2020","2099.27","2115.07","2099.27","2120.32"
"19 Mar 2020","2118.07","2118.07","2102.07","2098.88"
"18 Mar 2020","2120.80","2124.69","2111.67","2117.68"
"17 Mar 2020","2129.28","2129.40","2123.06","2120.41"
"16 Mar 2020","2117.66","2135.28","2117.66","2128.89"
"13 Mar 2020","2130.90","2130.90","2117.08","2116.54"
"12 Mar 2020","2145.79","2145.79","2133.66","2130.51"
"11 Mar 2020","2151.97","2151.97","2142.93","2145.40"
"09 Mar 2020","2140.48","2156.64","2140.48","2151.23"
"06 Mar 2020","2134.47","2143.12","2134.47","2139.37"
"05 Mar 2020","2136.16","2136.60","2132.41","2134.08"
"04 Mar 2020","2121.15","2135.98","2121.15","2135.77"
"03 Mar 2020","2121.01","2121.01","2117.84","2120.77"
"02 Mar 2020","2117.52","2122.61","2117.52","2120.63"
"28 Feb 2020","2115.47","2117.21","2111.77","2116.04"
"27 Feb 2020","2118.66","2120.34","2114.73","2115.09"
"26 Feb 2020","2115.45","2120.51","2115.45","2118.27"
"25 Feb 2020","2115.57","2117.14","2113.21","2115.06"
"24 Feb 2020","2109.55","2118.01","2109.55","2115.18"
"20 Feb 2020","2112.07","2112.54","2110.23","2108.06"
"19 Feb 2020","2112.07","2112.07","2112.07","2111.68"
"18 Feb 2020","2111.53","2111.85","2109.37","2111.31"
"17 Feb 2020","2113.15","2115.41","2110.38","2111.14"
"14 Feb 2020","2105.83","2108.77","2100.80","2112.03"
"13 Feb 2020","2099.46","2104.89","2098.85","2105.44"
"12 Feb 2020","2099.30","2099.30","2098.04","2099.07"
"11 Feb 2020","2100.76","2102.53","2098.38","2098.91"
"10 Feb 2020","2099.51","2102.71","2099.26","2100.37"
"07 Feb 2020","2095.74","2102.50","2095.74","2098.39"
"06 Feb 2020","2084.25","2094.57","2083.86","2095.35"
"05 Feb 2020","2083.93","2085.22","2082.84","2083.86"
"04 Feb 2020","2083.04","2085.62","2082.90","2083.55"
"03 Feb 2020","2068.03","2082.23","2068.03","2082.66"
"01 Feb 2020","2068.03","2068.03","2068.03","2067.27"
"31 Jan 2020","2070.59","2070.59","2066.97","2066.89"
"30 Jan 2020","2069.25","2070.88","2069.25","2070.21"
"29 Jan 2020","2068.99","2070.00","2067.44","2069.26"
"28 Jan 2020","2071.69","2071.86","2068.06","2068.60"
"27 Jan 2020","2068.90","2071.64","2068.90","2071.30"
"24 Jan 2020","2065.36","2067.76","2064.98","2067.76"
"23 Jan 2020","2060.65","2063.06","2060.65","2064.97"
"22 Jan 2020","2060.99","2061.59","2059.42","2060.26"
"21 Jan 2020","2059.75","2062.67","2059.75","2060.60"
"20 Jan 2020","2060.57","2060.87","2059.67","2059.37"
"17 Jan 2020","2057.32","2060.51","2056.65","2059.43"
"16 Jan 2020","2054.70","2057.08","2053.27","2056.94"
"15 Jan 2020","2050.15","2054.42","2050.15","2054.32"
"14 Jan 2020","2057.93","2057.93","2048.25","2049.76"
"13 Jan 2020","2058.90","2059.04","2055.01","2057.54"
"10 Jan 2020","2064.79","2064.79","2056.94","2057.77"
"09 Jan 2020","2060.12","2064.33","2060.12","2064.41"
"08 Jan 2020","2060.38","2061.45","2057.87","2059.73"
"07 Jan 2020","2057.94","2061.50","2057.94","2060.00"
"06 Jan 2020","2067.06","2067.06","2059.76","2057.56"
"03 Jan 2020","2066.43","2069.00","2066.43","2065.93"
"02 Jan 2020","2065.02","2066.50","2063.87","2066.05"
"01 Jan 2020","2057.79","2064.27","2057.79","2064.63"
"31 Dec 2019","2058.69","2059.53","2056.59","2057.41"
"30 Dec 2019","2060.87","2060.97","2059.58","2058.30"
"27 Dec 2019","2056.86","2062.37","2056.86","2060.11"
"26 Dec 2019","2055.53","2056.53","2053.52","2056.47"
"24 Dec 2019","2056.16","2057.42","2053.22","2054.76"
"23 Dec 2019","2052.31","2055.38","2052.31","2055.77"
"20 Dec 2019","2034.96","2056.30","2034.96","2051.17"
"19 Dec 2019","2037.31","2038.13","2033.79","2034.57"
"18 Dec 2019","2032.09","2036.99","2031.70","2036.92"
"16 Dec 2019","2026.86","2028.76","2026.32","2025.72"
"13 Dec 2019","2027.69","2027.69","2022.98","2025.71"
"12 Dec 2019","2029.23","2030.99","2025.97","2027.30"
"06 Dec 2019","2042.88","2043.37","2036.82","2036.48"
"02 Dec 2019","2060.96","2061.60","2058.56","2058.82"
"29 Nov 2019","2061.45","2061.50","2059.42","2059.82"
"28 Nov 2019","2059.40","2061.30","2059.38","2061.06"
"27 Nov 2019","2059.01","2059.03","2057.16","2059.01"
"26 Nov 2019","2060.09","2060.55","2058.24","2058.62"
"25 Nov 2019","2056.91","2060.31","2056.91","2059.70"
"22 Nov 2019","2055.42","2056.93","2054.66","2055.77"
"21 Nov 2019","2059.76","2061.40","2056.19","2055.03"
"20 Nov 2019","2056.94","2058.93","2056.94","2059.37"
"19 Nov 2019","2054.55","2056.26","2054.55","2056.55"
"18 Nov 2019","2050.43","2054.48","2049.96","2054.16"
"15 Nov 2019","2048.00","2049.82","2047.83","2049.29"
"14 Nov 2019","2046.04","2048.62","2046.04","2047.61"
"13 Nov 2019","2040.42","2045.82","2040.42","2045.65"
"11 Nov 2019","2041.99","2042.22","2039.40","2039.65"
"08 Nov 2019","2044.85","2044.85","2040.42","2040.85"
"07 Nov 2019","2047.14","2047.66","2045.23","2044.46"
"06 Nov 2019","2043.93","2047.10","2043.71","2046.75"
"05 Nov 2019","2047.45","2047.45","2042.37","2043.54"
"04 Nov 2019","2049.19","2049.19","2047.82","2047.06"
"31 Oct 2019","2045.07","2046.51","2045.07","2048.03"
"30 Oct 2019","2042.82","2045.25","2042.82","2044.68"
"29 Oct 2019","2043.43","2043.43","2041.78","2042.83"
"27 Oct 2019","2043.43","2043.43","2043.43","2042.67"
"25 Oct 2019","2041.56","2042.98","2041.16","2041.92"
"24 Oct 2019","2041.58","2041.58","2039.16","2041.17"
"23 Oct 2019","2038.81","2041.33","2038.81","2041.19"
"22 Oct 2019","2038.92","2039.22","2038.13","2038.42"
"18 Oct 2019","2036.95","2038.03","2036.69","2037.40"
"17 Oct 2019","2041.79","2043.46","2035.91","2036.56"
"16 Oct 2019","2039.81","2042.37","2039.25","2041.40"
"15 Oct 2019","2039.05","2040.01","2037.16","2039.42"
"14 Oct 2019","2033.43","2038.74","2032.93","2038.66"
"11 Oct 2019","2037.94","2037.94","2032.84","2032.29"
"10 Oct 2019","2040.35","2040.35","2037.08","2037.55"
"09 Oct 2019","2038.44","2042.41","2038.44","2039.96"
"07 Oct 2019","2038.35","2039.64","2036.91","2037.67"
"04 Oct 2019","2044.82","2048.08","2040.51","2037.22"
"03 Oct 2019","2037.47","2045.52","2037.47","2044.43"
"01 Oct 2019","2028.97","2036.94","2028.97","2036.71"
"30 Sep 2019","2024.66","2030.23","2024.66","2028.58"
"27 Sep 2019","2024.58","2024.73","2021.54","2023.52"
"26 Sep 2019","2019.84","2025.54","2018.86","2024.19"
"25 Sep 2019","2018.34","2021.21","2017.91","2019.45"
"24 Sep 2019","2021.92","2022.81","2017.62","2017.95"
"19 Sep 2019","2036.28","2041.38","2036.28","2034.68"
"18 Sep 2019","2024.34","2037.65","2024.34","2035.89"
"17 Sep 2019","2026.09","2027.01","2022.84","2023.95"
"16 Sep 2019","2034.41","2034.41","2026.22","2025.70"
"13 Sep 2019","2032.10","2035.48","2030.13","2033.28"
"12 Sep 2019","2030.17","2033.61","2027.81","2031.71"
"11 Sep 2019","2041.82","2041.82","2031.52","2029.78"
"09 Sep 2019","2038.45","2042.14","2037.63","2041.07"
"06 Sep 2019","2039.51","2039.51","2037.66","2037.32"
"05 Sep 2019","2041.06","2041.06","2037.54","2039.12"
"04 Sep 2019","2042.52","2045.31","2042.52","2040.67"
"03 Sep 2019","2036.59","2042.08","2036.59","2042.13"
"30 Aug 2019","2037.27","2037.27","2033.93","2035.10"
"29 Aug 2019","2035.25","2035.70","2029.90","2037.28"
"28 Aug 2019","2039.16","2040.93","2034.30","2034.86"
"27 Aug 2019","2044.38","2050.30","2040.89","2038.78"
"26 Aug 2019","2033.15","2040.37","2033.15","2044.00"
"23 Aug 2019","2032.83","2033.22","2031.37","2032.03"
"22 Aug 2019","2030.36","2034.47","2029.08","2032.44"
"21 Aug 2019","2026.85","2032.49","2026.85","2029.98"
"20 Aug 2019","2024.46","2026.84","2022.42","2026.46"
"19 Aug 2019","2029.76","2029.76","2023.63","2024.08"
"16 Aug 2019","2018.32","2029.14","2018.32","2028.63"
"14 Aug 2019","2030.58","2030.58","2017.04","2017.57"
"13 Aug 2019","2035.02","2035.62","2028.52","2030.19"
"09 Aug 2019","2044.86","2044.95","2031.26","2033.54"
"08 Aug 2019","2044.56","2049.05","2043.98","2044.47"
"07 Aug 2019","2043.41","2048.55","2041.01","2044.17"
"06 Aug 2019","2036.58","2043.88","2036.58","2043.03"
"05 Aug 2019","2040.81","2040.98","2034.86","2036.19"
"02 Aug 2019","2032.35","2041.69","2032.35","2039.70"
"01 Aug 2019","2036.89","2036.89","2030.47","2031.96"
"30 Jul 2019","2030.77","2034.02","2028.52","2034.01"
"29 Jul 2019","2018.71","2029.38","2018.71","2028.78"
"26 Jul 2019","2020.20","2020.55","2016.85","2017.59"
"25 Jul 2019","2029.16","2029.59","2017.30","2019.82"
"24 Jul 2019","2027.20","2030.19","2026.76","2028.78"
"23 Jul 2019","2033.43","2034.29","2029.11","2026.81"
"22 Jul 2019","2041.24","2041.24","2034.15","2033.04"
"19 Jul 2019","2037.76","2040.40","2037.76","2040.13"
"18 Jul 2019","2041.22","2043.18","2036.32","2037.37"
"17 Jul 2019","2045.39","2050.50","2037.30","2040.84"
"16 Jul 2019","2035.28","2046.87","2035.28","2045.01"
"15 Jul 2019","2029.08","2035.28","2029.08","2034.89"
"12 Jul 2019","2028.15","2031.88","2023.89","2027.97"
"11 Jul 2019","2021.76","2025.90","2020.63","2027.77"
"10 Jul 2019","2015.92","2023.58","2014.03","2021.38"
"09 Jul 2019","2018.56","2018.98","2013.85","2015.54"
"08 Jul 2019","2001.80","2016.22","2001.15","2018.18"
"05 Jul 2019","1994.97","2016.03","1994.09","2000.68"
"04 Jul 2019","1984.74","1993.09","1983.49","1994.59"
"03 Jul 2019","1982.34","1988.11","1982.34","1984.36"
"02 Jul 2019","1977.91","1983.45","1977.91","1981.96"
"01 Jul 2019","1977.67","1977.67","1973.71","1977.54"
"28 Jun 2019","1973.81","1977.63","1973.81","1976.54"
"27 Jun 2019","1970.78","1975.73","1969.74","1973.42"
"26 Jun 2019","1975.49","1975.49","1970.17","1970.40"
"25 Jun 2019","1978.40","1979.07","1973.99","1975.10"
"24 Jun 2019","1978.27","1982.56","1976.06","1978.02"
"21 Jun 2019","1984.80","1984.80","1974.11","1977.13"
"20 Jun 2019","1978.81","1988.29","1978.81","1984.41"
"19 Jun 2019","1981.47","1981.47","1977.96","1978.43"
"18 Jun 2019","1967.41","1980.46","1967.41","1981.08"
"17 Jun 2019","1967.57","1968.24","1964.41","1967.02"
"14 Jun 2019","1954.69","1965.08","1954.69","1966.43"
"13 Jun 2019","1953.66","1956.96","1952.82","1954.30"
"12 Jun 2019","1951.01","1954.56","1951.01","1953.27"
"11 Jun 2019","1946.67","1950.14","1945.46","1950.62"
"10 Jun 2019","1956.39","1956.47","1947.54","1946.28"
"07 Jun 2019","1958.21","1958.21","1954.20","1955.25"
"06 Jun 2019","1947.86","1964.01","1947.86","1957.83"
"04 Jun 2019","1951.89","1952.29","1948.27","1947.09"
"03 Jun 2019","1947.33","1954.16","1947.33","1951.51"
"31 May 2019","1935.78","1946.29","1935.78","1946.19"
"30 May 2019","1936.85","1936.85","1935.04","1935.40"
"29 May 2019","1933.85","1937.14","1933.85","1936.86"
"28 May 2019","1931.58","1935.28","1930.47","1933.47"
"27 May 2019","1925.13","1931.86","1925.13","1931.20"
"24 May 2019","1922.17","1926.56","1922.17","1923.99"
"23 May 2019","1919.36","1924.74","1919.36","1921.79"
"22 May 2019","1914.97","1917.03","1914.36","1918.98"
"21 May 2019","1916.36","1916.50","1914.88","1914.59"
"20 May 2019","1908.61","1917.44","1908.61","1915.98"
"17 May 2019","1907.33","1908.88","1906.46","1907.46"
"16 May 2019","1905.84","1906.70","1904.64","1906.95"
"15 May 2019","1906.60","1907.62","1905.74","1905.46"
"14 May 2019","1903.69","1908.88","1903.69","1906.22"
"13 May 2019","1899.77","1901.26","1898.42","1903.31"
"10 May 2019","1899.57","1899.77","1898.73","1898.62"
"09 May 2019","1901.14","1902.45","1899.74","1899.19"
"08 May 2019","1898.99","1900.69","1898.44","1900.75"
"07 May 2019","1896.77","1899.15","1895.14","1898.61"
"06 May 2019","1895.55","1898.12","1895.55","1896.39"
"03 May 2019","1894.67","1896.61","1894.67","1894.40"
"02 May 2019","1891.30","1893.82","1891.30","1894.29"
"30 Apr 2019","1890.56","1892.61","1890.07","1890.54"
"26 Apr 2019","1884.56","1888.98","1884.56","1889.02"
"25 Apr 2019","1886.87","1887.03","1882.49","1884.18"
"24 Apr 2019","1879.04","1884.99","1879.04","1886.49"
"23 Apr 2019","1878.94","1879.97","1877.03","1878.66"
"22 Apr 2019","1885.65","1885.65","1878.10","1878.56"
"18 Apr 2019","1885.79","1885.79","1883.13","1884.11"
"16 Apr 2019","1885.58","1886.76","1884.74","1885.03"
"15 Apr 2019","1883.46","1885.09","1882.87","1885.20"
"12 Apr 2019","1886.11","1886.11","1882.69","1882.31"
"11 Apr 2019","1885.99","1885.99","1884.67","1885.73"
"10 Apr 2019","1884.57","1886.36","1884.57","1885.61"
"09 Apr 2019","1882.40","1884.04","1881.19","1884.19"
"08 Apr 2019","1888.59","1888.59","1882.27","1882.02"
"05 Apr 2019","1890.03","1892.08","1889.90","1887.45"
"04 Apr 2019","1898.91","1903.78","1890.02","1889.65"
"03 Apr 2019","1898.81","1900.59","1897.65","1898.53"
"02 Apr 2019","1891.30","1898.71","1890.63","1898.43"
"01 Apr 2019","1891.30","1891.30","1891.30","1890.92"
"29 Mar 2019","1891.32","1893.40","1890.17","1892.74"
"28 Mar 2019","1889.33","1893.05","1889.33","1890.95"
"27 Mar 2019","1888.18","1888.71","1887.00","1888.96"
"26 Mar 2019","1889.48","1889.70","1888.16","1887.80"
"25 Mar 2019","1885.60","1890.21","1885.60","1889.11"
"22 Mar 2019","1881.63","1886.97","1881.63","1884.46"
"20 Mar 2019","1878.42","1881.10","1878.32","1880.88"
"19 Mar 2019","1883.29","1883.47","1877.65","1878.04"
"18 Mar 2019","1880.43","1885.88","1880.43","1882.91"
"15 Mar 2019","1875.40","1879.72","1874.88","1879.30"
"14 Mar 2019","1874.78","1876.53","1872.56","1875.03"
"13 Mar 2019","1877.16","1877.81","1874.71","1874.40"
"12 Mar 2019","1877.20","1878.37","1875.59","1876.79"
"11 Mar 2019","1875.33","1878.45","1875.33","1876.82"
"08 Mar 2019","1870.17","1873.80","1870.17","1874.19"
"07 Mar 2019","1869.96","1870.98","1869.65","1869.80"
"06 Mar 2019","1870.50","1871.06","1868.66","1869.59"
"05 Mar 2019","1870.20","1872.04","1870.20","1870.13"
"01 Mar 2019","1864.90","1868.92","1864.90","1868.69"
