Date,Open,High,Low,Close,Adj Close,Volume
24-06-2019,21067.67969,21338.16992,21035.83984,21275.91992,21275.91992,173700
01-07-2019,21566.26953,21784.2207,21559.16992,21746.38086,21746.38086,259200
08-07-2019,21665.78906,21720.14063,21488.2207,21685.90039,21685.90039,259700
15-07-2019,21644.38086,21655.51953,20993.43945,21466.99023,21466.99023,231200
22-07-2019,21394.75,21823.07031,21317.84961,21658.15039,21658.15039,240600
29-07-2019,21627.55078,21792.98047,20960.08984,21087.16016,21087.16016,345200
05-08-2019,20909.98047,20941.83008,20110.75977,20684.82031,20684.82031,377600
12-08-2019,20432.67969,20697.41992,20184.84961,20418.81055,20418.81055,260400
19-08-2019,20590.4707,20731.18945,20482.61914,20710.91016,20710.91016,259000
26-08-2019,20325.43945,20748.34961,20173.75977,20704.36914,20704.36914,309300
02-09-2019,20625.75,21241.28906,20554.16016,21199.57031,21199.57031,248000
09-09-2019,21214.56055,22019.66016,21182.25977,21988.28906,21988.28906,472600
16-09-2019,21907.83008,22255.56055,21820.93945,22079.08984,22079.08984,314100
23-09-2019,22095.34961,22184.91016,21733.68945,21878.90039,21878.90039,288000
30-09-2019,21793.83008,21938.76953,21276.00977,21410.19922,21410.19922,320900
07-10-2019,21445.73047,21820.76953,21308.88086,21798.86914,21798.86914,290900
14-10-2019,22063.71094,22649.84961,22049.71094,22492.67969,22492.67969,270200
21-10-2019,22541.2207,22819.91992,22457.89063,22799.81055,22799.81055,234900
28-10-2019,22854.43945,23008.42969,22705.59961,22850.76953,22850.76953,366300
04-11-2019,23118.78906,23591.08984,23090.93945,23391.86914,23391.86914,345000
11-11-2019,23422.13086,23545.69922,23062.16016,23303.32031,23303.32031,340000
18-11-2019,23304.25,23420.61914,22726.71094,23112.88086,23112.88086,312600
25-11-2019,23292.84961,23608.06055,23255.39063,23293.91016,23293.91016,293700
02-12-2019,23388.63086,23562.05078,23044.7793,23354.40039,23354.40039,280400
09-12-2019,23544.31055,24050.03906,23333.63086,24023.09961,24023.09961,341700
16-12-2019,23955.19922,24091.11914,23746.63086,23816.63086,23816.63086,309500
23-12-2019,23921.28906,23967.17969,23775.40039,23837.7207,23837.7207,199800
30-12-2019,23770.92969,23782.49023,23656.61914,23656.61914,23656.61914,41600
06-01-2020,23319.75977,23903.28906,22951.17969,23850.57031,23850.57031,334600
13-01-2020,23969.03906,24115.94922,23875.82031,24041.25977,24041.25977,236200
20-01-2020,24080.67969,24108.10938,23755.32031,23827.17969,23827.17969,236100
27-01-2020,23427.90039,23463.89063,22892.94922,23205.17969,23205.17969,326700
03-02-2020,22874.26953,23995.36914,22775.91992,23827.98047,23827.98047,371200
10-02-2020,23631.78906,23908.84961,23603.48047,23687.58984,23687.58984,264700
17-02-2020,23489.7793,23806.56055,23133.59961,23386.74023,23386.74023,300500
24-02-2020,22949.36914,22950.23047,20916.40039,21142.96094,21142.96094,459800
02-03-2020,20849.78906,21719.7793,20613.91016,20749.75,20749.75,521000
09-03-2020,20343.31055,20347.18945,16690.59961,17431.05078,17431.05078,862200
16-03-2020,17586.08008,17785.75977,16358.19043,16552.83008,16552.83008,733000
23-03-2020,16570.57031,19564.38086,16480.94922,19389.42969,19389.42969,742300
30-03-2020,18884.07031,19336.18945,17646.5,17820.18945,17820.18945,552300
06-04-2020,17857.99023,19500.07031,17802.61914,19498.5,19498.5,489600
13-04-2020,19312.03906,19922.07031,19014.32031,19897.25977,19897.25977,410800
20-04-2020,19689.84961,19784.38086,18858.25,19262,19262,378100
27-04-2020,19410.83984,20365.89063,19410.17969,19619.34961,19619.34961,336200
04-05-2020,19468.51953,20179.08984,19448.92969,20179.08984,20179.08984,165100
11-05-2020,20333.73047,20534.88086,19832.88086,20037.4707,20037.4707,375500
18-05-2020,20097.61914,20734.91016,19999.09961,20388.16016,20388.16016,370700
25-05-2020,20653.41016,21955.43945,20584.06055,21877.89063,21877.89063,541500
01-06-2020,21910.89063,22907.91992,21898.99023,22863.73047,22863.73047,421800
08-06-2020,23121.98047,23185.84961,21786.92969,22305.48047,22305.48047,502000
15-06-2020,22135.26953,22624.14063,21529.83008,22478.78906,22478.78906,413300
22-06-2020,22353.68945,22693.89063,22165.14063,22259.78906,22259.78906,202400
26-06-2020,22424.36914,22589.14063,22408.26953,22512.08008,22512.08008,0
