Date,Open,High,Low,Close,Adj Close,Volume
01-07-2019,2.026,2.148,1.943,2.021,2.021,0
01-08-2019,2.028,2.028,1.446,1.506,1.506,0
01-09-2019,1.483,1.903,1.429,1.675,1.675,0
01-10-2019,1.727,1.86,1.51,1.691,1.691,0
01-11-2019,1.677,1.971,1.67,1.776,1.776,0
01-12-2019,1.833,1.949,1.693,1.919,1.919,0
01-01-2020,1.903,1.903,1.512,1.52,1.52,0
01-02-2020,1.555,1.668,1.127,1.127,1.127,0
01-03-2020,1.067,1.266,0.398,0.698,0.698,0
01-04-2020,0.61,0.784,0.543,0.622,0.622,0
01-05-2020,0.613,0.745,0.59,0.648,0.648,0
01-06-2020,0.667,0.957,0.651,0.674,0.674,0
26-06-2020,0.669,0.671,0.632,0.635,0.635,0
