Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,2.544000,2.670000,2.466000,2.527000,2.527000,0
2019-08-01,2.529000,2.529000,1.905000,1.970000,1.970000,0
2019-09-01,1.945000,2.378000,1.909000,2.121000,2.121000,0
2019-10-01,2.176000,2.350000,2.008000,2.176000,2.176000,0
2019-11-01,2.173000,2.443000,2.167000,2.202000,2.202000,0
2019-12-01,2.270000,2.393000,2.143000,2.389000,2.389000,0
2020-01-01,2.365000,2.382000,1.992000,2.015000,2.015000,0
2020-02-01,2.042000,2.141000,1.646000,1.671000,1.671000,0
2020-03-01,1.624000,1.940000,0.837000,1.351000,1.351000,0
2020-04-01,1.237000,1.417000,1.126000,1.266000,1.266000,0
2020-05-01,1.259000,1.485000,1.251000,1.407000,1.407000,0
2020-06-01,1.437000,1.761000,1.394000,1.418000,1.418000,0
2020-06-26,1.410000,1.412000,1.371000,1.376000,1.376000,0
