,index,Sno,Date_,Time,Date,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Five,Eight,Ten,Twelve,Fourteen,Sixteen,Twenty
0,34,35,03-02-2020 00:00,6:00 PM,02-03-2020,Delhi,1,0,0,0,1,0,0,0,1,1,1,1
1,38,39,03-03-2020 00:00,6:00 PM,03-03-2020,Delhi,1,0,0,0,1,0,0,0,1,1,1,1
2,42,43,03-04-2020 00:00,6:00 PM,04-03-2020,Delhi,1,0,0,0,1,0,0,1,1,1,1,1
3,45,46,03-05-2020 00:00,6:00 PM,05-03-2020,Delhi,2,0,0,0,2,0,0,1,1,1,1,1
4,51,52,03-06-2020 00:00,6:00 PM,06-03-2020,Delhi,3,0,0,0,3,0,1,1,1,1,1,1
5,62,63,03-07-2020 00:00,6:00 PM,07-03-2020,Delhi,3,0,0,0,3,0,1,1,1,1,1,1
6,71,72,03-08-2020 00:00,6:00 PM,08-03-2020,Delhi,3,0,0,0,3,0,1,1,1,1,1,1
7,84,85,03-09-2020 00:00,6:00 PM,09-03-2020,Delhi,4,0,0,0,4,1,1,1,1,1,1,2
8,87,88,03-10-2020 00:00,6:00 PM,10-03-2020,Delhi,4,0,0,0,4,1,1,1,1,1,1,2
9,98,99,03-11-2020 00:00,6:00 PM,11-03-2020,Delhi,5,0,0,0,5,1,1,1,1,1,1,2
10,109,110,03-12-2020 00:00,6:00 PM,12-03-2020,Delhi,6,0,0,0,6,1,1,1,1,1,1,2
11,122,123,13-03-2020 00:00,6:00 PM,13-03-2020,Delhi,6,0,0,0,6,1,1,1,1,1,2,4
12,135,136,14-03-2020 00:00,6:00 PM,14-03-2020,Delhi,7,0,1,1,7,1,1,1,1,1,2,4
13,149,150,15-03-2020 00:00,6:00 PM,15-03-2020,Delhi,7,0,2,1,7,1,1,1,1,2,2,6
14,163,164,16-03-2020 00:00,6:00 PM,16-03-2020,Delhi,7,0,2,1,7,1,1,1,1,2,2,7
15,178,179,17-03-2020 00:00,6:00 PM,17-03-2020,Delhi,8,0,2,1,8,1,1,1,2,2,4,7
16,193,194,18-03-2020 00:00,6:00 PM,18-03-2020,Delhi,9,1,2,1,10,1,1,1,2,2,4,7
17,211,212,19-03-2020 00:00,6:00 PM,19-03-2020,Delhi,11,1,3,1,12,1,1,2,2,4,6,9
18,230,231,20-03-2020 00:00,6:00 PM,20-03-2020,Delhi,16,1,5,1,17,1,1,2,2,4,7,9
19,250,251,21-03-2020 00:00,6:00 PM,21-03-2020,Delhi,25,1,5,1,26,1,2,2,4,6,7,13
20,273,274,22-03-2020 00:00,6:00 PM,22-03-2020,Delhi,28,1,5,1,29,1,2,2,4,7,7,14
21,296,297,23-03-2020 00:00,6:00 PM,23-03-2020,Delhi,28,1,5,1,29,1,2,4,6,7,9,19
22,319,320,24-03-2020 00:00,6:00 PM,24-03-2020,Delhi,29,1,6,1,30,2,2,4,7,7,9,24
23,343,344,25-03-2020 00:00,6:00 PM,25-03-2020,Delhi,30,1,6,1,31,2,4,6,7,9,13,28
24,370,371,26-03-2020 00:00,6:00 PM,26-03-2020,Delhi,35,1,6,1,36,2,4,7,7,9,14,30
25,397,398,27-03-2020 00:00,10:00 AM,27-03-2020,Delhi,35,1,6,1,36,2,6,7,9,13,19,32
26,424,425,28-03-2020 00:00,6:00 PM,28-03-2020,Delhi,38,1,6,1,39,4,7,7,9,14,24,38
27,451,452,29-03-2020 00:00,7:30 PM,29-03-2020,Delhi,-,-,6,2,49,4,7,9,13,19,28,42
28,478,479,30-03-2020 00:00,9:30 PM,30-03-2020,Delhi,-,-,6,2,87,6,7,9,14,24,30,43
29,506,507,31-03-2020 00:00,8:30 PM,31-03-2020,Delhi,-,-,6,2,97,7,9,13,19,28,32,45
30,535,536,04-01-2020 00:00,7:30 PM,01-04-2020,Delhi,-,-,6,2,152,7,9,14,24,30,38,47
31,564,565,04-02-2020 00:00,6:00 PM,02-04-2020,Delhi,-,-,8,4,219,7,13,19,28,32,42,47
32,594,595,04-03-2020 00:00,6:00 PM,03-04-2020,Delhi,-,-,8,4,219,9,14,24,30,38,43,48
33,625,626,04-04-2020 00:00,6:00 PM,04-04-2020,Delhi,-,-,15,6,445,9,19,28,32,42,45,50
34,655,656,04-05-2020 00:00,6:00 PM,05-04-2020,Delhi,-,-,18,7,503,13,24,30,38,43,47,53
35,685,686,04-06-2020 00:00,6:00 PM,06-04-2020,Delhi,-,-,19,7,523,14,28,32,42,45,47,54
36,715,716,04-07-2020 00:00,6:00 PM,07-04-2020,Delhi,-,-,21,7,576,19,30,38,43,47,48,54
37,746,747,04-08-2020 00:00,5:00 PM,08-04-2020,Delhi,-,-,21,9,576,24,32,42,45,47,50,54
38,777,778,04-09-2020 00:00,5:00 PM,09-04-2020,Delhi,-,-,21,9,669,28,38,43,47,48,53,54
39,808,809,04-10-2020 00:00,5:00 PM,10-04-2020,Delhi,-,-,25,13,898,30,42,45,47,50,54,56
40,839,840,04-11-2020 00:00,5:00 PM,11-04-2020,Delhi,-,-,25,14,903,32,43,47,48,53,54,59
41,870,871,04-12-2020 00:00,5:00 PM,12-04-2020,Delhi,-,-,25,19,1069,38,45,47,50,54,54,61
42,901,902,13-04-2020 00:00,5:00 PM,13-04-2020,Delhi,-,-,27,24,1154,42,47,48,53,54,54,64
43,933,934,14-04-2020 00:00,5:00 PM,14-04-2020,Delhi,-,-,30,28,1510,43,47,50,54,54,56,64
44,966,967,15-04-2020 00:00,5:00 PM,15-04-2020,Delhi,-,-,30,30,1561,45,48,53,54,54,59,64
45,999,1000,16-04-2020 00:00,5:00 PM,16-04-2020,Delhi,-,-,42,32,1578,47,50,54,54,56,61,64
46,1032,1033,17-04-2020 00:00,5:00 PM,17-04-2020,Delhi,-,-,51,38,1640,47,53,54,54,59,64,65
47,1065,1066,18-04-2020 00:00,5:00 PM,18-04-2020,Delhi,-,-,72,42,1707,48,54,54,56,61,64,66
48,1098,1099,19-04-2020 00:00,5:00 PM,19-04-2020,Delhi,-,-,72,43,1893,50,54,54,59,64,64,68
49,1131,1132,20-04-2020 00:00,5:00 PM,20-04-2020,Delhi,-,-,290,45,2003,53,54,56,61,64,64,73
50,1164,1165,21-04-2020 00:00,5:00 PM,21-04-2020,Delhi,-,-,431,47,2081,54,54,59,64,64,65,73
51,1197,1198,22-04-2020 00:00,5:00 PM,22-04-2020,Delhi,-,-,611,47,2156,54,56,61,64,64,66,73
52,1229,1230,23-04-2020 00:00,5:00 PM,23-04-2020,Delhi,-,-,724,48,2248,54,59,64,64,65,68,86
53,1261,1262,24-04-2020 00:00,5:00 PM,24-04-2020,Delhi,-,-,808,50,2376,54,61,64,64,66,73,106
54,1293,1294,25-04-2020 00:00,5:00 PM,25-04-2020,Delhi,-,-,857,53,2514,56,64,64,65,68,73,115
55,1325,1326,26-04-2020 00:00,5:00 PM,26-04-2020,Delhi,-,-,869,54,2625,59,64,64,66,73,73,123
56,1357,1358,27-04-2020 00:00,5:00 PM,27-04-2020,Delhi,-,-,877,54,2918,61,64,65,68,73,86,129
57,1389,1390,28-04-2020 00:00,5:00 PM,28-04-2020,Delhi,-,-,877,54,3108,64,64,66,73,73,106,160
58,1421,1422,29-04-2020 00:00,5:00 PM,29-04-2020,Delhi,-,-,1078,54,3314,64,65,68,73,86,115,168
59,1453,1454,30-04-2020 00:00,5:00 PM,30-04-2020,Delhi,-,-,1092,56,3439,64,66,73,73,106,123,168
60,1485,1486,05-01-2020 00:00,5:00 PM,01-05-2020,Delhi,-,-,1094,59,3515,64,68,73,86,115,129,176
61,1517,1518,05-02-2020 00:00,5:00 PM,02-05-2020,Delhi,-,-,1167,61,3738,65,73,73,106,123,160,194
62,1549,1550,05-03-2020 00:00,5:00 PM,03-05-2020,Delhi,-,-,1256,64,4122,66,73,86,115,129,168,208
63,1581,1582,05-04-2020 00:00,5:00 PM,04-05-2020,Delhi,-,-,1362,64,4549,68,73,106,123,160,168,231
64,1613,1614,05-05-2020 00:00,5:00 PM,05-05-2020,Delhi,-,-,1431,64,4898,73,86,115,129,168,176,261
65,1646,1647,05-06-2020 00:00,8:00 AM,06-05-2020,Delhi,-,-,1468,64,5104,73,106,123,160,168,194,276
66,1679,1680,05-07-2020 00:00,8:00 AM,07-05-2020,Delhi,-,-,1542,65,5532,73,115,129,168,176,208,288
67,1712,1713,05-08-2020 00:00,8:00 AM,08-05-2020,Delhi,-,-,1931,66,5980,86,123,160,168,194,231,303
68,1745,1746,05-09-2020 00:00,8:00 AM,09-05-2020,Delhi,-,-,2020,68,6318,106,129,168,176,208,261,316
69,1778,1779,05-10-2020 00:00,8:00 AM,10-05-2020,Delhi,-,-,2020,73,6542,115,160,168,194,231,276,398
70,1811,1812,05-11-2020 00:00,8:00 AM,11-05-2020,Delhi,-,-,2069,73,6923,123,168,176,208,261,288,416
71,1844,1845,05-12-2020 00:00,8:00 AM,12-05-2020,Delhi,-,-,2129,73,7233,129,168,194,231,276,303,473
72,1877,1878,13-05-2020 00:00,8:00 AM,13-05-2020,Delhi,-,-,2512,86,7639,160,176,208,261,288,316,523
73,1910,1911,14-05-2020 00:00,8:00 AM,14-05-2020,Delhi,-,-,2858,106,7998,168,194,231,276,303,398,556
74,1943,1944,15-05-2020 00:00,8:00 AM,15-05-2020,Delhi,-,-,3045,115,8470,168,208,261,288,316,416,606
75,1976,1977,16-05-2020 00:00,8:00 AM,16-05-2020,Delhi,-,-,3518,123,8895,176,231,276,303,398,473,650
76,2009,2010,17-05-2020 00:00,8:00 AM,17-05-2020,Delhi,-,-,3926,129,9333,194,261,288,316,416,523,708
77,2042,2043,18-05-2020 00:00,8:00 AM,18-05-2020,Delhi,-,-,4485,160,10054,208,276,303,398,473,556,761
78,2075,2076,19-05-2020 00:00,8:00 AM,19-05-2020,Delhi,-,-,4485,168,10054,231,288,316,416,523,606,761
79,2108,2109,20-05-2020 00:00,8:00 AM,20-05-2020,Delhi,-,-,4750,168,10554,261,303,398,473,556,650,874
80,2142,2143,21-05-2020 00:00,8:00 AM,21-05-2020,Delhi,-,-,5192,176,11088,276,316,416,523,606,708,905
