Date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,3_day,5_day,7_day,10_day,12_day,14_day
02-03-2020,-3,-1,4,-5,0,2,1,0,1,1,1,0
03-03-2020,-2,1,8,-2,4,0,2,0,0,0,0,1
04-03-2020,-5,0,1,-3,3,1,0,1,1,1,0,2
05-03-2020,-8,-5,-5,-4,3,1,0,0,1,0,1,2
06-03-2020,-15,-14,-18,-5,0,3,1,1,0,0,2,5
07-03-2020,-6,0,-5,1,6,1,0,1,1,1,2,9
08-03-2020,-6,2,-8,-7,7,1,1,0,0,2,5,3
09-03-2020,-2,4,-3,-20,-18,5,1,1,0,2,9,0
10-03-2020,-51,-56,-34,-60,-79,24,0,0,1,5,3,1
11-03-2020,-15,-9,-9,-15,-11,2,1,0,2,9,0,1
12-03-2020,-10,-7,-4,-10,-2,1,0,1,2,3,1,5
13-03-2020,-11,-5,-2,-12,-2,2,0,2,5,0,1,0
14-03-2020,-20,-15,-15,-17,-7,4,1,2,9,1,5,3
15-03-2020,-15,-6,-11,-15,1,3,2,5,3,1,0,10
16-03-2020,-10,-4,2,-13,-5,2,2,9,0,5,3,38
17-03-2020,-12,-2,0,-17,-8,3,5,3,1,0,10,10
18-03-2020,-15,-1,-3,-20,-10,4,9,0,1,3,38,55
19-03-2020,-17,0,-9,-24,-12,5,3,1,5,10,10,67
20-03-2020,-27,-9,-16,-31,-19,8,0,1,0,38,55,0
21-03-2020,-44,-24,-30,-40,-27,10,1,5,3,10,67,226
22-03-2020,-87,-83,-77,-81,-68,21,1,0,10,55,0,58
23-03-2020,-71,-52,-58,-74,-73,28,5,3,38,67,226,20
24-03-2020,-80,-66,-71,-82,-82,32,0,10,10,0,58,53
25-03-2020,-86,-76,-78,-87,-85,34,3,38,55,226,20,0
26-03-2020,-86,-76,-78,-87,-84,35,10,10,67,58,53,93
27-03-2020,-86,-77,-79,-87,-84,36,38,55,0,20,0,229
28-03-2020,-86,-77,-78,-85,-80,31,10,67,226,53,93,5
29-03-2020,-86,-77,-79,-84,-69,23,55,0,58,0,229,166
30-03-2020,-83,-73,-75,-86,-82,34,67,226,20,93,5,85
31-03-2020,-84,-74,-76,-86,-83,34,0,58,53,229,166,356
01-04-2020,-85,-76,-77,-87,-83,34,226,20,0,5,85,51
02-04-2020,-85,-76,-78,-88,-84,36,58,53,93,166,356,17
03-04-2020,-84,-73,-76,-87,-82,35,20,0,229,85,51,62
04-04-2020,-85,-75,-77,-86,-78,31,53,93,5,356,17,67
05-04-2020,-86,-77,-79,-86,-67,23,0,229,166,51,62,186
06-04-2020,-84,-73,-76,-87,-84,35,93,5,85,17,67,110
07-04-2020,-85,-68,-73,-84,-82,33,229,166,356,62,186,78
08-04-2020,-86,-67,-73,-84,-82,34,5,85,51,67,110,75
09-04-2020,-86,-67,-75,-85,-83,35,166,356,17,186,78,92
10-04-2020,-87,-69,-76,-86,-85,37,85,51,62,110,75,128
11-04-2020,-88,-72,-77,-85,-80,32,356,17,67,78,92,138
12-04-2020,-89,-74,-79,-84,-69,24,51,62,186,75,128,111
13-04-2020,-86,-69,-76,-85,-82,35,17,67,110,92,138,293
14-04-2020,-87,-71,-75,-85,-84,34,62,186,78,128,111,190
15-04-2020,-87,-68,-76,-84,-81,34,67,110,75,138,293,206
16-04-2020,-89,-66,-98,-83,-82,35,186,78,92,111,190,125
17-04-2020,-90,-66,-98,-83,-81,36,110,75,128,293,206,76
18-04-2020,-91,-71,-98,-83,-78,32,78,92,138,190,125,223
19-04-2020,-91,-71,-98,-82,-69,24,75,128,111,206,76,384
20-04-2020,-90,-66,-98,-83,-81,35,92,138,293,125,223,427
21-04-2020,-90,-68,-98,-84,-82,35,128,111,190,76,384,349
22-04-2020,-90,-67,-98,-84,-82,35,138,293,206,223,427,206
23-04-2020,-90,-67,-98,-84,-82,36,111,190,125,384,349,428
24-04-2020,-90,-66,-98,-84,-81,37,293,206,76,427,206,448
25-04-2020,-91,-69,-98,-83,-79,33,190,125,223,349,428,338
26-04-2020,-91,-70,-98,-82,-68,25,206,76,384,206,448,224
27-04-2020,-89,-65,-98,-83,-80,35,125,223,427,428,338,381
28-04-2020,-90,-66,-98,-83,-81,34,76,384,349,448,224,310
29-04-2020,-89,-65,-98,-82,-81,35,223,427,206,338,381,406
30-04-2020,-89,-66,-96,-82,-81,35,384,349,428,224,310,359
01-05-2020,-89,-64,-96,-82,-81,36,427,206,448,381,406,472
02-05-2020,-89,-66,-96,-81,-77,32,349,428,338,310,359,425
03-05-2020,-90,-68,-97,-80,-67,24,206,448,224,406,472,438
04-05-2020,-84,-54,-95,-77,-75,32,428,338,381,359,425,721
05-05-2020,-85,-55,-95,-77,-75,32,448,224,310,472,438,0
06-05-2020,-84,-52,-95,-76,-73,32,338,381,406,425,721,500
07-05-2020,-85,-57,-95,-78,-77,33,224,310,359,438,0,534
08-05-2020,-83,-52,-95,-76,-72,32,381,406,472,721,500,571
09-05-2020,-85,-57,-95,-75,-70,29,310,359,425,0,534,660
10-05-2020,-85,-58,-96,-74,-59,22,406,472,438,500,571,591
11-05-2020,-82,-51,-95,-75,-70,31,359,425,721,534,660,508
12-05-2020,-83,-53,-95,-75,-71,31,472,438,0,571,591,635
13-05-2020,-82,-50,-94,-73,-70,30,425,721,500,660,508,412
14-05-2020,-82,-54,-94,-74,-70,30,438,0,534,591,635,792
15-05-2020,-81,-48,-94,-73,-68,30,721,500,571,508,412,1024
16-05-2020,-82,-52,-94,-72,-64,27,0,534,660,635,792,1105
17-05-2020,-83,-55,-95,-71,-54,21,500,571,591,412,1024,1163
18-05-2020,-79,-46,-93,-71,-63,28,534,660,508,792,1105,1295
19-05-2020,-76,-41,-92,-67,-60,27,571,591,635,1024,1163,990
20-05-2020,-74,-36,-91,-65,-59,26,660,508,412,1105,1295,1298
21-05-2020,-73,-37,-92,-65,-58,26,591,635,792,1163,990,1513
22-05-2020,-74,-37,-91,-65,-57,26,508,412,1024,1295,1298,1359
23-05-2020,-75,-40,-92,-65,-52,24,635,792,1105,990,1513,1330
24-05-2020,-76,-41,-93,-64,-43,18,412,1024,1163,1298,1359,1320
25-05-2020,-75,-41,-92,-69,-66,28,792,1105,1295,1513,1330,0
26-05-2020,-73,-37,-91,-63,-55,24,1024,1163,990,1359,1320,2289
27-05-2020,-73,-35,-91,-63,-55,24,1105,1295,1298,1330,0,1366
28-05-2020,-73,-37,-91,-63,-55,25,1163,990,1513,1320,2289,1501
29-05-2020,-73,-37,-91,-64,-54,26,1295,1298,1359,0,1366,1877
30-05-2020,-74,-37,-91,-62,-46,22,990,1513,1330,2289,1501,2137
31-05-2020,-76,-42,-93,-63,-36,18,1298,1359,1320,1366,1877,2134
01-06-2020,-68,-27,-90,-59,-49,22,1513,1330,0,1501,2137,2224
02-06-2020,-69,-28,-90,-59,-50,22,1359,1320,2289,1877,2134,1647
03-06-2020,-69,-27,-90,-58,-49,22,1330,0,1366,2137,2224,1859
04-06-2020,-69,-30,-90,-59,-50,23,1320,2289,1501,2134,1647,2414
05-06-2020,-67,-28,-88,-59,-49,23,0,1366,1877,2224,1859,2877
06-06-2020,-69,-32,-89,-58,-42,20,2289,1501,2137,1647,2414,3137
07-06-2020,-70,-35,-90,-58,-33,16,1366,1877,2134,1859,2877,3630
08-06-2020,-65,-27,-87,-58,-47,21,1501,2137,2224,2414,3137,3000
09-06-2020,-66,-29,-88,-58,-48,21,1877,2134,1647,2877,3630,2909
10-06-2020,-65,-27,-88,-57,-49,21,2137,2224,1859,3137,3000,3947
11-06-2020,-62,-26,-87,-58,-49,22,2134,1647,2414,3630,2909,3788
12-06-2020,-62,-24,-86,-58,-48,22,2224,1859,2877,3000,3947,3390
13-06-2020,-65,-31,-87,-57,-44,20,1647,2414,3137,2909,3788,3460
14-06-2020,-67,-34,-89,-57,-31,15,1859,2877,3630,3947,3390,2948
15-06-2020,-63,-28,-86,-59,-49,21,2414,3137,3000,3788,3460,2889
16-06-2020,-64,-29,-87,-59,-50,21,2877,3630,2909,3390,2948,2084
17-06-2020,-64,-28,-87,-59,-50,21,3137,3000,3947,3460,2889,2199
18-06-2020,-64,-31,-87,-60,-50,21,3630,2909,3788,2948,2084,2442
19-06-2020,-64,-29,-86,-60,-49,22,3000,3947,3390,2889,2199,2373
20-06-2020,-65,-32,-87,-57,-41,18,2909,3788,3460,2084,2442,2520
21-06-2020,-71,-44,-90,-62,-35,17,3947,3390,2948,2199,2373,2505
22-06-2020,-61,-27,-86,-58,-49,20,3788,3460,2889,2442,2520,2244
23-06-2020,-62,-27,-85,-57,-50,20,3390,2948,2084,2373,2505,1379
24-06-2020,-62,-27,-85,-57,-48,20,3460,2889,2199,2520,2244,2008
25-06-2020,-62,-29,-86,-58,-48,20,2948,2084,2442,2505,1379,2033
26-06-2020,-62,-27,-85,-58,-47,20,2889,2199,2373,2244,2008,2187
27-06-2020,-65,-33,-87,-57,-42,18,2084,2442,2520,1379,2033,2089
28-06-2020,-66,-35,-88,-57,-27,13,2199,2373,2505,2008,2187,1781
29-06-2020,-62,-29,-85,-59,-47,19,2442,2520,2244,2033,2089,1573
30-06-2020,-61,-28,-83,-58,-48,19,2373,2505,1379,2187,1781,1246
01-07-2020,-60,-26,-84,-57,-47,18,2520,2244,2008,2089,1573,
02-07-2020,-61,-28,-84,-58,-47,20,2505,1379,2033,1781,1246,
03-07-2020,-60,-26,-84,-57,-46,20,2244,2008,2187,1573,,
04-07-2020,-61,-28,-85,-55,-38,17,1379,2033,2089,1246,,
05-07-2020,-62,-30,-86,-55,-28,13,2008,2187,1781,,,
06-07-2020,-59,-26,-82,-56,-46,18,2033,2089,1573,,,
07-07-2020,-58,-24,-82,-55,-47,18,2187,1781,1246,,,
08-07-2020,-59,-25,-83,-56,-45,18,2089,1573,,,,
09-07-2020,-58,-26,-83,-56,-45,19,1781,1246,,,,
10-07-2020,-58,-24,-83,-56,-44,18,1573,,,,,
11-07-2020,-60,-29,-84,-56,-41,18,1246,,,,,
12-07-2020,-60,-28,-85,-54,-27,13,,,,,,
13-07-2020,-57,-24,-82,-56,-44,18,,,,,,
14-07-2020,-57,-24,-81,-55,-45,17,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
