Date,State/UnionTerritory,Cured,Deaths,Confirmed,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,new_cases
02-03-2020,Delhi,0,0,1,-3,-1,4,-5,0,2,1
03-03-2020,Delhi,0,0,1,-2,1,8,-2,4,0,0
04-03-2020,Delhi,0,0,1,-5,0,1,-3,3,1,0
05-03-2020,Delhi,0,0,2,-8,-5,-5,-4,3,1,1
06-03-2020,Delhi,0,0,3,-15,-14,-18,-5,0,3,2
07-03-2020,Delhi,0,0,3,-6,0,-5,1,6,1,0
08-03-2020,Delhi,0,0,3,-6,2,-8,-7,7,1,0
09-03-2020,Delhi,0,0,4,-2,4,-3,-20,-18,5,1
10-03-2020,Delhi,0,0,4,-51,-56,-34,-60,-79,24,0
11-03-2020,Delhi,0,0,5,-15,-9,-9,-15,-11,2,1
12-03-2020,Delhi,0,0,6,-10,-7,-4,-10,-2,1,1
13-03-2020,Delhi,0,0,6,-11,-5,-2,-12,-2,2,0
14-03-2020,Delhi,1,1,7,-20,-15,-15,-17,-7,4,1
15-03-2020,Delhi,2,1,7,-15,-6,-11,-15,1,3,0
16-03-2020,Delhi,2,1,7,-10,-4,2,-13,-5,2,0
17-03-2020,Delhi,2,1,8,-12,-2,0,-17,-8,3,1
18-03-2020,Delhi,2,1,10,-15,-1,-3,-20,-10,4,2
19-03-2020,Delhi,3,1,12,-17,0,-9,-24,-12,5,2
20-03-2020,Delhi,5,1,17,-27,-9,-16,-31,-19,8,5
21-03-2020,Delhi,5,1,26,-44,-24,-30,-40,-27,10,9
22-03-2020,Delhi,5,1,29,-87,-83,-77,-81,-68,21,3
23-03-2020,Delhi,5,1,29,-71,-52,-58,-74,-73,28,0
24-03-2020,Delhi,6,1,30,-80,-66,-71,-82,-82,32,1
25-03-2020,Delhi,6,1,31,-86,-76,-78,-87,-85,34,1
26-03-2020,Delhi,6,1,36,-86,-76,-78,-87,-84,35,5
27-03-2020,Delhi,6,1,36,-86,-77,-79,-87,-84,36,0
28-03-2020,Delhi,6,1,39,-86,-77,-78,-85,-80,31,3
29-03-2020,Delhi,6,2,49,-86,-77,-79,-84,-69,23,10
30-03-2020,Delhi,6,2,87,-83,-73,-75,-86,-82,34,38
31-03-2020,Delhi,6,2,97,-84,-74,-76,-86,-83,34,10
01-04-2020,Delhi,6,2,152,-85,-76,-77,-87,-83,34,55
02-04-2020,Delhi,8,4,219,-85,-76,-78,-88,-84,36,67
03-04-2020,Delhi,8,4,219,-84,-73,-76,-87,-82,35,0
04-04-2020,Delhi,15,6,445,-85,-75,-77,-86,-78,31,226
05-04-2020,Delhi,18,7,503,-86,-77,-79,-86,-67,23,58
06-04-2020,Delhi,19,7,523,-84,-73,-76,-87,-84,35,20
07-04-2020,Delhi,21,7,576,-85,-68,-73,-84,-82,33,53
08-04-2020,Delhi,21,9,576,-86,-67,-73,-84,-82,34,0
09-04-2020,Delhi,21,9,669,-86,-67,-75,-85,-83,35,93
10-04-2020,Delhi,25,13,898,-87,-69,-76,-86,-85,37,229
11-04-2020,Delhi,25,14,903,-88,-72,-77,-85,-80,32,5
12-04-2020,Delhi,25,19,1069,-89,-74,-79,-84,-69,24,166
13-04-2020,Delhi,27,24,1154,-86,-69,-76,-85,-82,35,85
14-04-2020,Delhi,30,28,1510,-87,-71,-75,-85,-84,34,356
15-04-2020,Delhi,30,30,1561,-87,-68,-76,-84,-81,34,51
16-04-2020,Delhi,42,32,1578,-89,-66,-98,-83,-82,35,17
17-04-2020,Delhi,51,38,1640,-90,-66,-98,-83,-81,36,62
18-04-2020,Delhi,72,42,1707,-91,-71,-98,-83,-78,32,67
19-04-2020,Delhi,72,43,1893,-91,-71,-98,-82,-69,24,186
20-04-2020,Delhi,290,45,2003,-90,-66,-98,-83,-81,35,110
