,forecast,,
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
02-01-1970 00:00,219990.7591,,216919
03-01-1970 00:00,227638.5758,,226770
04-01-1970 00:00,235258.7052,,236657
05-01-1970 00:00,242832.3805,,246628
06-01-1970 00:00,250341.2936,,256611
07-01-1970 00:00,257767.7681,,266598
08-01-1970 00:00,265094.9203,,276583
09-01-1970 00:00,272306.8038,,286579
10-01-1970 00:00,279388.5357,,297535
11-01-1970 00:00,286326.403,,308993
12-01-1970 00:00,293107.9473,,320922
13-01-1970 00:00,299722.0278,,332424
14-01-1970 00:00,306158.8619,,343091
15-01-1970 00:00,312410.0455,,354065
16-01-1970 00:00,318468.552,,366946
17-01-1970 00:00,324328.7135,,380532
18-01-1970 00:00,329986.1854,,395048
19-01-1970 00:00,335437.8951,,410461
20-01-1970 00:00,340681.9803,,425282
21-01-1970 00:00,345717.7151,,440215
22-01-1970 00:00,350545.4299,,456183
23-01-1970 00:00,355166.4246,,473105
24-01-1970 00:00,359582.8793,,490401
25-01-1970 00:00,363797.7621,,508953
26-01-1970 00:00,367814.738,,528859
27-01-1970 00:00,371638.0788,,548318
28-01-1970 00:00,375272.5759,,566840
29-01-1970 00:00,378723.4564,,585493
30-01-1970 00:00,381996.3045,,604641
31-01-1970 00:00,385096.9876,,625544
01-02-1970 00:00,388031.5876,,648315
02-02-1970 00:00,390806.3384,,673165
03-02-1970 00:00,393427.5694,,
04-02-1970 00:00,395901.6544,,
05-02-1970 00:00,398234.9665,,
06-02-1970 00:00,400433.8382,,
07-02-1970 00:00,402504.5272,,
08-02-1970 00:00,404453.1867,,
09-02-1970 00:00,406285.8407,,
10-02-1970 00:00,408008.3632,,
11-02-1970 00:00,409626.4612,,
12-02-1970 00:00,411145.6616,,
13-02-1970 00:00,412571.3009,,
14-02-1970 00:00,413908.5181,,
15-02-1970 00:00,415162.2491,,
16-02-1970 00:00,416337.2248,,
17-02-1970 00:00,417437.9694,,
18-02-1970 00:00,418468.8017,,
19-02-1970 00:00,419433.8368,,
20-02-1970 00:00,420336.9897,,
21-02-1970 00:00,421181.9789,,
22-02-1970 00:00,421972.332,,
23-02-1970 00:00,422711.3907,,
24-02-1970 00:00,423402.3171,,
25-02-1970 00:00,424048.1,,
26-02-1970 00:00,424651.5617,,
27-02-1970 00:00,425215.3643,,
28-02-1970 00:00,425742.0172,,
01-03-1970 00:00,426233.8835,,
