Index,Date ,Predicted,Actual,Deviation
126,04-06-2020,219990.7303,216919,-3072
127,05-06-2020,227638.5384,226770,-869
128,06-06-2020,235258.6582,236657,1398
129,07-06-2020,242832.323,246628,3796
130,08-06-2020,250341.2248,256611,6270
131,09-06-2020,257767.6871,266598,8830
132,10-06-2020,265094.8264,276583,11488
133,11-06-2020,272306.696,286579,14272
134,12-06-2020,279388.4134,297535,18147
135,13-06-2020,286326.2655,308993,22667
136,14-06-2020,293107.7941,320922,27814
137,15-06-2020,299721.8583,332424,32702
138,16-06-2020,306158.6757,343091,36932
139,17-06-2020,312409.8421,354065,41655
140,18-06-2020,318468.331,366946,48478
141,19-06-2020,324328.4749,380532,56204
142,20-06-2020,329985.9288,395048,65062
143,21-06-2020,335437.6206,410461,75023
144,22-06-2020,340681.6878,425282,84600
145,23-06-2020,345717.4046,440215,94498
146,24-06-2020,350545.1015,456183,105638
147,25-06-2020,355166.0785,473105,117939
148,26-06-2020,359582.5157,490401,130818
149,27-06-2020,363797.3812,508953,145156
150,28-06-2020,367814.3402,528859,161045
151,29-06-2020,371637.6645,548318,176680
152,30-06-2020,375272.1453,566840,191568
153,01-07-2020,378723.0101,585493,206770
154,02-07-2020,381995.8429,604641,222645
155,03-07-2020,385096.5111,625544,240447
156,04-07-2020,388031.0966,648315,260284
157,05-07-2020,390805.8335,673165,282359
,06-07-2020,393427.0511,,
,07-07-2020,395901.1232,,
,08-07-2020,398234.4228,,
,09-07-2020,400433.2825,,
,10-07-2020,402503.96,,
,11-07-2020,404452.6086,,
,12-07-2020,406285.2521,,
,13-07-2020,408007.7646,,
,14-07-2020,409625.853,,
,15-07-2020,411145.0443,,
,16-07-2020,412570.675,,
,17-07-2020,413907.8839,,
,18-07-2020,415161.6071,,
,19-07-2020,416336.5754,,
,20-07-2020,417437.3129,,
,21-07-2020,418468.1385,,
,22-07-2020,419433.1673,,
,23-07-2020,420336.3142,,
,24-07-2020,421181.2977,,
,25-07-2020,421971.6454,,
,26-07-2020,422710.6991,,
,27-07-2020,423401.6207,,
,28-07-2020,424047.3991,,
,29-07-2020,424650.8564,,
,30-07-2020,425214.655,,
,31-07-2020,425741.3041,,
,01-08-2020,426233.1669,,
