,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-01-30,-366.54845140659415,-10700.85739477931,11405.919219373287,-366.54845140659415,-366.54845140659415,-10.532649169213341,-10.532649169213341,-10.532649169213341,-10.532649169213341,-10.532649169213341,-10.532649169213341,0.0,0.0,0.0,-377.0811005758075
1,2020-01-31,-357.344776318232,-11716.973572145927,10376.134547381072,-357.344776318232,-357.344776318232,108.50360594273518,108.50360594273518,108.50360594273518,108.50360594273518,108.50360594273518,108.50360594273518,0.0,0.0,0.0,-248.8411703754968
2,2020-02-01,-348.14110122986983,-11482.206474180164,11347.573642061652,-348.14110122986983,-348.14110122986983,643.6721857103761,643.6721857103761,643.6721857103761,643.6721857103761,643.6721857103761,643.6721857103761,0.0,0.0,0.0,295.53108448050625
3,2020-02-02,-338.9374261415077,-11585.138575275447,12047.914510381073,-338.9374261415077,-338.9374261415077,912.9633457920405,912.9633457920405,912.9633457920405,912.9633457920405,912.9633457920405,912.9633457920405,0.0,0.0,0.0,574.0259196505328
4,2020-02-03,-329.73375105314545,-12228.382630812095,10040.978001365758,-329.73375105314545,-329.73375105314545,-539.5968216656642,-539.5968216656642,-539.5968216656642,-539.5968216656642,-539.5968216656642,-539.5968216656642,0.0,0.0,0.0,-869.3305727188097
5,2020-02-04,-320.53007596478324,-11336.683977476143,10374.17020582118,-320.53007596478324,-320.53007596478324,-389.4726357790345,-389.4726357790345,-389.4726357790345,-389.4726357790345,-389.4726357790345,-389.4726357790345,0.0,0.0,0.0,-710.0027117438177
6,2020-02-05,-311.32641441263326,-12184.692726300773,10840.573570003704,-311.32641441263326,-311.32641441263326,-725.5370308263185,-725.5370308263185,-725.5370308263185,-725.5370308263185,-725.5370308263185,-725.5370308263185,0.0,0.0,0.0,-1036.8634452389517
7,2020-02-06,-302.1227528604832,-11649.764806752175,11017.330476235544,-302.1227528604832,-302.1227528604832,-10.532649172325868,-10.532649172325868,-10.532649172325868,-10.532649172325868,-10.532649172325868,-10.532649172325868,0.0,0.0,0.0,-312.6554020328091
8,2020-02-07,-292.9190913083332,-11070.044758757893,11536.258605296414,-292.9190913083332,-292.9190913083332,108.50360594130156,108.50360594130156,108.50360594130156,108.50360594130156,108.50360594130156,108.50360594130156,0.0,0.0,0.0,-184.41548536703164
9,2020-02-08,-283.71542975618314,-10680.759741802496,11489.661200667075,-283.71542975618314,-283.71542975618314,643.6721857079257,643.6721857079257,643.6721857079257,643.6721857079257,643.6721857079257,643.6721857079257,0.0,0.0,0.0,359.95675595174254
10,2020-02-09,-274.51176820403316,-9793.46208551097,12483.775216539216,-274.51176820403316,-274.51176820403316,912.9633457919615,912.9633457919615,912.9633457919615,912.9633457919615,912.9633457919615,912.9633457919615,0.0,0.0,0.0,638.4515775879283
11,2020-02-10,-265.30777074102275,-12519.422517164687,10461.277146139251,-265.30777074102275,-265.30777074102275,-539.5968216657129,-539.5968216657129,-539.5968216657129,-539.5968216657129,-539.5968216657129,-539.5968216657129,0.0,0.0,0.0,-804.9045924067357
12,2020-02-11,-256.1037732780124,-11956.818386220762,10301.44055472971,-256.1037732780124,-256.1037732780124,-389.47263577908916,-389.47263577908916,-389.47263577908916,-389.47263577908916,-389.47263577908916,-389.47263577908916,0.0,0.0,0.0,-645.5764090571015
13,2020-02-12,-246.89977581500196,-12293.07176037052,9913.773497617523,-246.89977581500196,-246.89977581500196,-725.5370308270238,-725.5370308270238,-725.5370308270238,-725.5370308270238,-725.5370308270238,-725.5370308270238,0.0,0.0,0.0,-972.4368066420258
14,2020-02-13,-237.69577835199152,-12106.266538492411,11828.12769665187,-237.69577835199152,-237.69577835199152,-10.532649170626817,-10.532649170626817,-10.532649170626817,-10.532649170626817,-10.532649170626817,-10.532649170626817,0.0,0.0,0.0,-248.22842752261835
15,2020-02-14,-228.49178088898114,-11033.550325445782,11678.080520567515,-228.49178088898114,-228.49178088898114,108.50360594224513,108.50360594224513,108.50360594224513,108.50360594224513,108.50360594224513,108.50360594224513,0.0,0.0,0.0,-119.98817494673601
16,2020-02-15,-219.28778342597073,-10887.196330427572,12257.690608921179,-219.2877834259707,-219.2877834259707,643.672185710009,643.672185710009,643.672185710009,643.672185710009,643.672185710009,643.672185710009,0.0,0.0,0.0,424.3844022840383
17,2020-02-16,-210.08368310417922,-10799.076412819088,12596.191713708899,-210.08368310417922,-210.08368310417922,912.9633457901754,912.9633457901754,912.9633457901754,912.9633457901754,912.9633457901754,912.9633457901754,0.0,0.0,0.0,702.8796626859962
18,2020-02-17,-200.87958278238764,-12044.257894632077,10339.279262361937,-200.87958278238764,-200.87958278238764,-539.5968216673803,-539.5968216673803,-539.5968216673803,-539.5968216673803,-539.5968216673803,-539.5968216673803,0.0,0.0,0.0,-740.4764044497679
19,2020-02-18,-191.6754824605961,-11638.552372068982,10303.134851381004,-191.6754824605961,-191.6754824605961,-389.4726357788976,-389.4726357788976,-389.4726357788976,-389.4726357788976,-389.4726357788976,-389.4726357788976,0.0,0.0,0.0,-581.1481182394937
20,2020-02-19,-182.4713821388046,-11836.197751237905,10133.533155293511,-182.4713821388046,-182.4713821388046,-725.5370308252144,-725.5370308252144,-725.5370308252144,-725.5370308252144,-725.5370308252144,-725.5370308252144,0.0,0.0,0.0,-908.008412964019
21,2020-02-20,-173.26728181701301,-11864.044983260712,11158.438559471868,-173.26728181701301,-173.26728181701301,-10.532649170944827,-10.532649170944827,-10.532649170944827,-10.532649170944827,-10.532649170944827,-10.532649170944827,0.0,0.0,0.0,-183.79993098795785
