,Confirmed,Deaths,Recovered,Active
174,3304942.0,135205.0,1006326.0,2208772.0
23,1864681.0,72100.0,1264843.0,527738.0
79,878254.0,23174.0,553471.0,301609.0
140,726036.0,11318.0,500208.0,214510.0
134,326326.0,11870.0,217111.0,97345.0
35,315041.0,6979.0,283902.0,24160.0
113,299750.0,35006.0,234905.0,29839.0
178,291154.0,44904.0,1378.0,244872.0
156,276242.0,4079.0,134874.0,137289.0
81,257303.0,12829.0,219993.0,24481.0
158,253908.0,28403.0,150376.0,75130.0
130,251625.0,5266.0,161917.0,84442.0
85,243061.0,34954.0,194928.0,13179.0
147,232259.0,2223.0,167138.0,62898.0
173,212993.0,5363.0,194515.0,13115.0
62,208015.0,30007.0,78513.0,99495.0
66,199919.0,9071.0,184414.0,6434.0
13,183795.0,2352.0,93614.0,87829.0
37,145362.0,5426.0,61186.0,78750.0
32,109348.0,8829.0,72954.0,27566.0
138,103598.0,147.0,99743.0,3708.0
6,100166.0,1845.0,42694.0,55627.0
36,85117.0,4641.0,79907.0,569.0
53,82070.0,3858.0,24419.0,53793.0
82,77506.0,3150.0,44724.0,29632.0
80,75699.0,3606.0,35638.0,36455.0
162,74898.0,5526.0,0.0,69372.0
52,67870.0,5047.0,30283.0,32540.0
15,64932.0,464.0,55380.0,9088.0
16,62707.0,9782.0,17196.0,35729.0
